Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
20,muhammad Al-amine mbaye,5.0,19.0,6.0,36.0,0.361,1.0,2.0,4.0,3.0,8.0,2.0,3.0,0.0,0.0,24.5,Arcadia
19,annes Deljanin,5.0,10.0,0.0,15.0,0.667,0.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,0.0,12.5,Arcadia
11,kyle Foley,5.0,8.0,3.0,27.0,0.185,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,9.5,Arcadia
9,ted Kim,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,Arcadia
24,matisse Lee-maarek,5.0,10.0,2.0,18.0,0.444,1.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,12.5,Arcadia
10,cooper Moran,5.0,1.0,0.0,7.0,0.143,48.0,1.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,3.0,Arcadia
2,sergio Aguado,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,Arcadia
13,jimmy Chang,5.0,9.0,2.0,21.0,0.333,1.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,Arcadia
8,nick Yao,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,Arcadia
7,brandon Yeh,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arcadia
24,andrew Ahn,5.0,8.0,9.0,24.0,-0.042,3.0,1.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,9.5,Hunter
14,josh Clendening,5.0,8.0,5.0,28.0,0.107,1.0,2.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,10.5,Hunter
3,danny Gonzalez,5.0,24.0,7.0,49.0,0.347,1.0,3.0,6.0,2.0,10.0,0.0,2.0,0.0,0.0,28.0,Hunter
9,riley Kodidek,5.0,3.0,1.0,6.0,0.333,41.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.5,Hunter
7,ryan Miller,5.0,4.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,6.5,Hunter
