Team,Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Opponent
Sarah Lawrence,1,ralph Calle-schulz,4.0,3.0,4.0,20.0,-0.05,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,4,nate Davis,4.0,20.0,5.0,67.0,0.224,2.0,5.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,18,nikos Diaz,4.0,0.0,9.0,17.0,-0.529,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,3,jozef Kandrac,4.0,1.0,3.0,7.0,-0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bryn Athyn
Sarah Lawrence,8,aidan Roney,4.0,4.0,3.0,16.0,0.063,0.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,16,kian Silva,4.0,8.0,4.0,20.0,0.2,22.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,0.0,Bryn Athyn
Sarah Lawrence,7,chase Bolden,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,15,jason Ciron,4.0,0.0,1.0,3.0,-0.333,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,5,lukas Gates,4.0,1.0,2.0,3.0,-0.333,1.0,2.0,3.0,3.0,24.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,9,jackson Perhaes,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,27,troy Billingslea,4.0,2.0,1.0,7.0,0.143,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,13,bryan Choute,4.0,7.0,3.0,24.0,0.167,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,6,teagan Dewees,4.0,14.0,6.0,46.0,0.174,0.0,5.0,4.0,2.0,20.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,12,laban Genzlinger,4.0,4.0,3.0,13.0,0.077,32.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,17,blake Halterman,4.0,11.0,3.0,27.0,0.296,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,7,adan Rodriguez-sapien,4.0,2.0,5.0,22.0,-0.136,2.0,3.0,2.0,4.0,25.0,1.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,4,christian Paredes,4.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,Bryn Athyn
Sarah Lawrence,9,reid Schroeder,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Bryn Athyn
Concordia Wisconsin,15,lucas Beres,4.0,6.0,2.0,16.0,0.25,0.0,3.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,Carthage
Concordia Wisconsin,6,andy Ellingham,4.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Carthage
Concordia Wisconsin,11,spencer Herman,4.0,16.0,8.0,40.0,0.2,0.0,0.0,4.0,0.0,7.0,0.0,3.0,0.0,0.0,Carthage
Concordia Wisconsin,13,logan Kebisek,4.0,1.0,0.0,1.0,1.0,33.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,Carthage
Concordia Wisconsin,10,tate Miller,4.0,7.0,6.0,23.0,0.043,0.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,0.0,Carthage
Concordia Wisconsin,21,will Wood,4.0,3.0,7.0,22.0,-0.182,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,Carthage
Concordia Wisconsin,24,chase Ammons,2.0,3.0,1.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,17,kellen Gonzales,4.0,1.0,0.0,2.0,0.5,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,9,matthew Hundenberger,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,8,parker Pearson,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,15,ryan Cholewinski,4.0,8.0,1.0,14.0,0.5,1.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,Carthage
Concordia Wisconsin,13,ben Heise,4.0,11.0,2.0,20.0,0.45,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,Carthage
Concordia Wisconsin,3,drew Jansen,3.0,9.0,5.0,21.0,0.19,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,Carthage
Concordia Wisconsin,11,gene Mcnulty,4.0,0.0,0.0,0.0,0.0,20.0,1.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,14,owen Otto,4.0,17.0,4.0,30.0,0.433,2.0,3.0,5.0,2.0,6.0,0.0,1.0,0.0,0.0,Carthage
Concordia Wisconsin,18,ethan Sprague,4.0,2.0,3.0,7.0,-0.143,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,Carthage
Concordia Wisconsin,6,keegan Brumitt,2.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Carthage
Concordia Wisconsin,5,easton Gavin,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,1,jack Mcdonald,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,19,ryan Morey,4.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,20,zack Noland,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,Carthage
Concordia Wisconsin,10,grant Veldman,4.0,5.0,1.0,15.0,0.267,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Carthage
Juniata,21,Nathanael Brown,3.0,10.0,1.0,16.0,0.562,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,Chatham
Juniata,33,Gavin Corrado,3.0,5.0,1.0,7.0,0.571,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Chatham
Juniata,18,Campbell Gerdeman,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,Chatham
Juniata,08,Chris Mellor,3.0,5.0,0.0,6.0,0.833,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Chatham
Juniata,14,Chase Robbins,3.0,5.0,3.0,15.0,0.133,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,Chatham
Juniata,07,Will Sierer,3.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Chatham
Juniata,01,Andrew Byrne,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,Chatham
Juniata,17,Max Finkielstein,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Chatham
Juniata,16,Jared Johnson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatham
Juniata,06,Grant Lorelli,2.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatham
Juniata,13,Andrew Perhamus,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatham
Juniata,09,Tyler Phillips,1.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Chatham
Juniata,10,Ethan Shick,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatham
Juniata,12,Octavian Sperry,2.0,2.0,1.0,5.0,0.2,0.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,Chatham
Juniata,16,Maximilian Barrett,3.0,3.0,4.0,11.0,-0.091,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,Chatham
Juniata,03,Coulter Chaffee,3.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,Chatham
Juniata,09,Tim Mccabe,3.0,9.0,4.0,23.0,0.217,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,Chatham
Juniata,04,Mannix Mckaveney,2.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatham
Juniata,12,Kyle Penn,3.0,0.0,1.0,5.0,-0.2,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,Chatham
Juniata,08,Benjamin Shelestak,3.0,8.0,6.0,22.0,0.091,0.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,Chatham
Juniata,13,Luis Carrasquillo,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,Chatham
Juniata,06,Evan Frank,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Chatham
Juniata,01,Tyler Mcknight,3.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Chatham
Juniata,02,Alex Moncello,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chatham
Lakeland,19,Chase Anderson,3.0,0.0,0.0,6.0,0.0,25.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,6,Ben Busalacchi,3.0,15.0,8.0,30.0,0.233,0.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,18,Jordan Davis-troller,3.0,1.0,3.0,7.0,-0.286,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,13,Jakob Donohue,1.0,0.0,2.0,4.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Wis.-Stevens Point
Lakeland,4,Levi Everts,3.0,2.0,4.0,27.0,-0.074,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,20,Colin Kenney,3.0,8.0,4.0,19.0,0.211,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,12,Drew Green,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,9,Eli Weinrich,3.0,2.0,5.0,13.0,-0.231,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,5,Alex Zamora,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,1,Spencer Baeckman,3.0,7.0,1.0,18.0,0.333,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Wis.-Stevens Point
Lakeland,16,Josh Brogren,3.0,1.0,0.0,7.0,0.143,24.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,Wis.-Stevens Point
Lakeland,21,Wren Dietz,3.0,4.0,2.0,12.0,0.167,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,9,Zach Meyers,3.0,13.0,3.0,25.0,0.4,0.0,0.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0,Wis.-Stevens Point
Lakeland,7,Dylan Niznik,3.0,5.0,1.0,19.0,0.211,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,5,Kyle Smith,3.0,2.0,1.0,9.0,0.111,1.0,0.0,4.0,0.0,5.0,1.0,2.0,1.0,0.0,Wis.-Stevens Point
Lakeland,2,Harry Anderson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,11,Andy Sanchez,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
Lakeland,3,Gabe Uttech,3.0,0.0,1.0,1.0,-1.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
SUNY Potsdam,6,michael Anderson,3.0,0.0,0.0,0.0,0.0,14.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,1,darius Dorsey-rhule,3.0,6.0,2.0,13.0,0.308,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,Manhattanville
SUNY Potsdam,10,matt Kilinski,3.0,9.0,1.0,19.0,0.421,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,42,cam Mcgarry,3.0,1.0,2.0,4.0,-0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Manhattanville
SUNY Potsdam,11,sean Murray,3.0,5.0,3.0,13.0,0.154,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,Manhattanville
SUNY Potsdam,4,duncan Tenhagen,3.0,14.0,1.0,23.0,0.565,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,8,calum Anderson,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,17,benson Jovel-truong,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,2,alex Lombardo,3.0,0.0,1.0,1.0,-1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,15,connor Mcgovern,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,7,jesse Schwartz,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,5,pedro Barros machado,3.0,1.0,0.0,5.0,0.2,29.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,Manhattanville
SUNY Potsdam,3,jacob Fletcher,3.0,2.0,1.0,3.0,0.333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,13,joe Gandarillas,3.0,10.0,3.0,20.0,0.35,0.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,11,idris Idris,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,Manhattanville
SUNY Potsdam,2,wilton Martinez,3.0,11.0,7.0,24.0,0.167,1.0,2.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,Manhattanville
SUNY Potsdam,8,emil Morban medrano,3.0,7.0,1.0,14.0,0.429,2.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,Manhattanville
