Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wittenberg,Kurt Klamfoth,19,5,2,2,0.40,1,5,.200,1,0.20,0,0.00,0,0.00,0,0,0,1,1,0.20,2.5,0.5
Wittenberg,Reese Monnin,21,14,4,19,1.36,3,39,.410,2,0.14,2,0.14,9,0.64,1,0,0,11,11,0.79,26.5,1.9
Wittenberg,Matthew Gerardi,23,8,3,9,1.13,8,29,.034,0,0.00,0,0.00,2,0.25,4,0,1,5,6,0.75,12.5,1.6
Wittenberg,Luke Teters,24,7,4,5,0.71,4,17,.059,0,0.00,0,0.00,3,0.43,1,0,0,2,2,0.29,6.0,0.9
Wittenberg,Brooklyn Hollander,38,5,2,0,0.00,0,1,.000,0,0.00,0,0.00,7,1.40,19,1,0,0,0,0.00,0.0,0.0
Endicott,Luke Madson,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Endicott,Dan Battista,2,9,3,0,0.00,0,0,-,3,0.33,0,0.00,18,2.00,0,0,0,0,0,0.00,0.0,0.0
Endicott,Adin Jepsky,3,18,5,0,0.00,1,1,-1.000,4,0.22,4,0.22,15,0.83,0,0,0,0,0,0.00,4.0,0.2
Endicott,Mason Mallory,7,4,2,7,1.75,12,29,-.172,0,0.00,0,0.00,4,1.00,27,4,0,0,0,0.00,7.0,1.8
Endicott,Ryan Childress,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Endicott,Nicholas Pascual,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Endicott,Vance Mallory,10,18,5,0,0.00,0,0,-,7,0.39,0,0.00,14,0.78,124,4,0,0,0,0.00,0.0,0.0
Endicott,Aidan Napoli,11,3,1,0,0.00,0,0,-,0,0.00,1,0.33,0,0.00,0,0,0,0,0,0.00,1.0,0.3
Endicott,Gavin Emenaker,12,18,5,5,0.28,2,15,.200,172,9.56,2,0.11,25,1.39,1,0,0,2,2,0.11,8.0,0.4
Endicott,Jake Laborde,13,15,5,63,4.20,27,127,.283,3,0.20,5,0.33,16,1.07,75,4,0,1,1,0.07,68.5,4.6
Endicott,Matty Tiernan,14,1,1,0,0.00,0,0,-,3,3.00,0,0.00,1,1.00,0,0,0,0,0,0.00,0.0,0.0
Endicott,Dean Warner,15,18,5,60,3.33,32,139,.201,0,0.00,3,0.17,24,1.33,1,1,1,10,11,0.61,69.0,3.8
Endicott,Aaron Bennett,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Endicott,Aidan Iacovelli,17,18,5,51,2.83,24,133,.203,4,0.22,2,0.11,26,1.44,111,10,0,3,3,0.17,54.5,3.0
Endicott,Alex Bui,18,5,1,0,0.00,0,0,-,0,0.00,3,0.60,1,0.20,0,0,0,0,0,0.00,3.0,0.6
Endicott,Avery Tyson,19,18,5,6,0.33,5,14,.071,0,0.00,2,0.11,3,0.17,1,0,1,8,9,0.50,13.0,0.7
Endicott,Corey Klass Jr.,21,2,1,1,0.50,0,1,1.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,1.0,0.5
Endicott,Logan Pohl,22,18,5,18,1.00,6,35,.343,1,0.06,3,0.17,10,0.56,2,1,4,8,12,0.67,29.0,1.6
Endicott,Alexei Kraytman,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sage,Carlos Ilert,1,7,2,2,0.29,6,14,-.286,0,0.00,0,0.00,2,0.29,17,2,0,0,0,0.00,2.0,0.3
