Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
9,derek Bowers,3.0,7.0,3.0,15.0,0.267,1.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,10.0,Warner
3,eric Chapman,2.0,0.0,0.0,2.0,0.0,22.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,Warner
11,imanol Davila-morales,3.0,7.0,3.0,13.0,0.308,9.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,12.0,Warner
12,oscar Jaquez,3.0,7.0,0.0,12.0,0.583,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,11.0,Warner
14,quentin Maddock,3.0,10.0,3.0,21.0,0.333,0.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,11.5,Warner
18,romone Rudolph,2.0,3.0,1.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Warner
15,zachary Clark,1.0,0.0,1.0,2.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,Warner
2,james Methot,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Warner
17,ethan Miller,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,Warner
4,blake Rosen,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,Warner
8,daniel Earnest,3.0,0.0,1.0,3.0,-0.333,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
6,caleb Goetz,3.0,1.0,0.0,3.0,0.333,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,Maranatha Baptist
13,titus Huston,3.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.5,Maranatha Baptist
16,jonathan Knight,3.0,1.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,Maranatha Baptist
12,daniel Says,3.0,3.0,5.0,14.0,-0.143,7.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,Maranatha Baptist
20,jacob Valeria,3.0,7.0,6.0,20.0,0.05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,Maranatha Baptist
2,aaron Joyner,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
7,tyler Lacock,3.0,4.0,3.0,14.0,0.071,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.5,Maranatha Baptist
14,luke Nason,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,Maranatha Baptist
3,ben Yenger,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
1,mehmet Ali,4.0,10.0,7.0,22.0,0.136,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,Warner
9,derek Bowers,4.0,4.0,2.0,8.0,0.25,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,Warner
11,imanol Davila-morales,4.0,1.0,1.0,3.0,0.0,37.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,Warner
12,oscar Jaquez,4.0,12.0,3.0,26.0,0.346,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,Warner
14,quentin Maddock,4.0,10.0,1.0,19.0,0.474,0.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,12.0,Warner
18,romone Rudolph,3.0,3.0,4.0,9.0,-0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Warner
5,jose Calle,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warner
15,zachary Clark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warner
2,james Methot,4.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Warner
17,ethan Miller,3.0,5.0,3.0,12.0,0.167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,Warner
4,blake Rosen,4.0,0.0,1.0,1.0,-1.0,4.0,3.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,3.0,Warner
26,jerry Buno,4.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Houghton
10,devin Burns,4.0,5.0,6.0,19.0,-0.053,0.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,5.5,Houghton
2,gabriel Lucena,4.0,2.0,3.0,13.0,-0.077,0.0,0.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,2.5,Houghton
15,elijah Sproull,4.0,8.0,4.0,21.0,0.19,7.0,4.0,1.0,0.0,12.0,1.0,1.0,1.0,1.0,13.5,Houghton
21,devin Tullar,4.0,2.0,0.0,3.0,0.667,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,Houghton
25,jared Wright,3.0,1.0,0.0,4.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Houghton
11,luke George,2.0,1.0,2.0,4.0,-0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.5,Houghton
9,thomas Mcglynn,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houghton
3,anthony Panboon,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Houghton
6,jonah Sissel,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houghton
7,jase Stone,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Houghton
5,elijah Studt,4.0,4.0,1.0,10.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,Houghton
