Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
1,spencer Baeckman,4.0,2.0,3.0,11.0,-0.091,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,5.0,Wis.-Stevens Point
16,josh Brogren,4.0,5.0,0.0,10.0,0.5,39.0,4.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,10.0,Wis.-Stevens Point
21,wren Dietz,4.0,6.0,2.0,19.0,0.211,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,8.0,Wis.-Stevens Point
9,zach Meyers,4.0,22.0,4.0,41.0,0.439,1.0,2.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,26.0,Wis.-Stevens Point
7,dylan Niznik,4.0,9.0,3.0,31.0,0.194,1.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,Wis.-Stevens Point
5,kyle Smith,4.0,3.0,3.0,13.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,1.0,6.0,Wis.-Stevens Point
11,andy Sanchez,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
3,gabe Uttech,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,Wis.-Stevens Point
12,tyler Batt,4.0,6.0,2.0,14.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,7.5,Olivet
6,thayne Bilicki,4.0,5.0,4.0,12.0,0.083,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,Olivet
10,quinn Dickerson,4.0,13.0,5.0,39.0,0.205,1.0,1.0,3.0,0.0,8.0,0.0,2.0,1.0,0.0,15.0,Olivet
9,kai Hartman,4.0,8.0,9.0,33.0,-0.03,2.0,1.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,10.0,Olivet
14,everett Haynes,4.0,3.0,1.0,13.0,0.154,39.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,4.0,Olivet
16,declan Nowakowski,4.0,11.0,5.0,26.0,0.231,0.0,0.0,3.0,5.0,5.0,0.0,1.0,0.0,0.0,11.5,Olivet
20,andy Hok,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Olivet
8,will Mensching,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,Olivet
26,matthew Tollar,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Olivet
1,ralph Calle-schulz,4.0,4.0,4.0,14.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,7.0,Sarah Lawrence
4,nate Davis,4.0,15.0,9.0,40.0,0.15,0.0,0.0,4.0,1.0,8.0,0.0,0.0,1.0,0.0,15.0,Sarah Lawrence
18,nikos Diaz,4.0,4.0,5.0,15.0,-0.067,0.0,0.0,2.0,2.0,7.0,0.0,1.0,0.0,0.0,4.5,Sarah Lawrence
3,jozef Kandrac,4.0,0.0,1.0,3.0,-0.333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,Sarah Lawrence
8,aidan Roney,4.0,1.0,0.0,7.0,0.143,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,2.5,Sarah Lawrence
