Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
9,alain Abreau esteva,3.0,7.0,3.0,18.0,0.222,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,8.0,Lehman
12,christian Agudo,3.0,2.0,0.0,4.0,0.5,29.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,Lehman
13,andrew Figueroa,3.0,3.0,2.0,18.0,0.056,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,Lehman
7,emmanuel Oladuso,3.0,5.0,4.0,13.0,0.077,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Lehman
11,neithan Pilay,3.0,4.0,2.0,8.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,Lehman
1,ray Rodriguez,3.0,10.0,3.0,23.0,0.304,3.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,13.0,Lehman
8,jimmy Evans,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,Lehman
14,amir Pepic,2.0,6.0,2.0,11.0,0.364,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,Lehman
12,trabelsi Amiti,3.0,0.0,1.0,4.0,-0.25,4.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,Yeshiva
1,eitan Cillo,3.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,Yeshiva
21,zevulun Kirshtein,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yeshiva
13,zanvy Lesnoy,3.0,1.0,4.0,16.0,-0.188,7.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.5,Yeshiva
4,yoni Rubin,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Yeshiva
