Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Concordia Wisconsin,Lucas Beres,15,15,4,19,1.27,7,44,.273,1,0.07,4,0.27,0,0.00,2,0,4,9,13,0.87,31.5,2.1
Concordia Wisconsin,Brodie Conklyn,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Concordia Wisconsin,Kellen Gonzales,17,15,4,3,0.20,5,17,-.118,2,0.13,3,0.20,16,1.07,61,5,0,0,0,0.00,6.0,0.4
Concordia Wisconsin,Zach Koeferl,18,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Concordia Wisconsin,Benjamin Groll,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Concordia Wisconsin,Will Wood,21,15,4,17,1.13,13,50,.080,0,0.00,1,0.07,2,0.13,13,1,0,1,1,0.07,18.5,1.2
Concordia Wisconsin,Chase Ammons,24,6,4,3,0.50,0,6,.500,0,0.00,0,0.00,0,0.00,0,0,1,2,3,0.50,5.0,0.8
Elms,Santino Giordano,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elms,Collin Liedke,2,12,4,6,0.50,5,34,.029,69,5.75,3,0.25,28,2.33,0,0,0,1,1,0.08,9.5,0.8
Elms,Joshua Fernandez Garcia,3,12,4,3,0.25,4,15,-.067,0,0.00,1,0.08,13,1.08,53,5,0,0,0,0.00,4.0,0.3
Elms,Al Sánchez,4,4,2,0,0.00,0,0,-,3,0.75,0,0.00,8,2.00,19,3,0,0,0,0.00,0.0,0.0
Elms,David Tompkins,8,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Elms,Pedro De Jesus,9,12,4,39,3.25,19,85,.235,8,0.67,8,0.67,22,1.83,57,7,0,1,1,0.08,47.5,4.0
Elms,Joey Crain,11,3,1,3,1.00,1,9,.222,1,0.33,2,0.67,3,1.00,2,0,0,3,3,1.00,6.5,2.2
Elms,Nick Uschmann,13,12,4,24,2.00,16,76,.105,2,0.17,1,0.08,21,1.75,0,0,0,2,2,0.17,26.0,2.2
Elms,Rafa Artero,14,12,4,4,0.33,2,21,.095,0,0.00,2,0.17,8,0.67,1,0,0,2,2,0.17,7.0,0.6
Elms,John Bellafronte,15,12,4,12,1.00,6,47,.128,2,0.17,4,0.33,7,0.58,4,0,1,5,6,0.50,19.5,1.6
Elms,Sam Moreno,16,9,4,0,0.00,0,3,.000,0,0.00,0,0.00,11,1.22,55,12,0,0,0,0.00,0.0,0.0
Elms,Wendell Padilla,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
