Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
3,peter Gottler,4.0,8.0,4.0,21.0,0.19,1.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0,
17,nate Jennings,4.0,9.0,1.0,20.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.5,
7,thomas Mcnulty,4.0,6.0,4.0,17.0,0.118,2.0,1.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,
13,james Mion,4.0,8.0,0.0,16.0,0.5,0.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,11.5,
4,joshua Slater,4.0,3.0,0.0,8.0,0.375,33.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,
18,jordan Weir,4.0,4.0,3.0,15.0,0.067,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,
24,quighan Cai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,forest Chaput,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,
5,brendan Palmer,4.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,
10,aidan Snover,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,bryce Ceravolo,4.0,3.0,0.0,5.0,0.6,34.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,
14,nick Ferris,4.0,10.0,4.0,26.0,0.231,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,
8,samuel Guardado,4.0,6.0,2.0,13.0,0.308,1.0,3.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,
4,ian Meeks,4.0,7.0,7.0,23.0,0.0,2.0,3.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,10.0,
10,bryce Nickson,4.0,2.0,3.0,11.0,-0.091,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,
1,daniel Seymour,4.0,8.0,3.0,14.0,0.357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,
2,aj Debalso,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,
12,aaron Hennessy,4.0,7.0,2.0,21.0,0.238,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,
13,alex Sindone,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,jan Baranowski,3.0,7.0,0.0,10.0,0.7,2.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,Lasell
7,jesus Garcia,3.0,1.0,0.0,4.0,0.25,17.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.5,Lasell
20,carter Phillips,2.0,3.0,1.0,7.0,0.286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Lasell
3,jasper Schultz,3.0,3.0,0.0,5.0,0.6,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Lasell
15,dexter Thomas,3.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,Lasell
14,theo Zaharewicz,2.0,3.0,0.0,4.0,0.75,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,Lasell
21,josh Barahona,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Lasell
12,cody Bonilla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lasell
24,nathan Carter,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,Lasell
9,bret Debelser,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lasell
17,cole Esterline,2.0,3.0,1.0,4.0,0.5,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,Lasell
6,ryan Fuller,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,Lasell
11,brenden Joyce,1.0,5.0,1.0,7.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,Lasell
10,rande Monahan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lasell
1,ben Villa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lasell
22,peyton Walter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lasell
2,nathan Caldwell,3.0,1.0,1.0,5.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,Eastern Nazarene
5,alejandro Garcia fernandez,3.0,9.0,3.0,17.0,0.353,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,Eastern Nazarene
6,aaron Huang,3.0,2.0,3.0,9.0,-0.111,21.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,Eastern Nazarene
13,ian Pacheco,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,Eastern Nazarene
3,delfy Soler,3.0,5.0,2.0,9.0,0.333,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,Eastern Nazarene
23,jacob Zarges,3.0,4.0,5.0,12.0,-0.083,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,Eastern Nazarene
9,matthew Mucha,3.0,4.0,1.0,7.0,0.429,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Eastern Nazarene
5,alexander Blair,3.0,0.0,2.0,3.0,-0.667,15.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Bethany (WV)
1,gabe Dombroff,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,Bethany (WV)
12,mckay Ginez,3.0,4.0,2.0,18.0,0.111,0.0,2.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,6.5,Bethany (WV)
15,tyler Johnson,3.0,8.0,4.0,25.0,0.16,0.0,1.0,3.0,2.0,6.0,1.0,0.0,1.0,0.0,10.0,Bethany (WV)
8,james Lucht,3.0,2.0,3.0,21.0,-0.048,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,Bethany (WV)
