Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
12,Kyle Hoffman,2.0,4.0,2.0,9.0,0.222,1.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,6.5,Houghton
3,Alex Jackson,3.0,2.0,0.0,2.0,1.0,22.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.5,Houghton
18,Lewis Rhodes,3.0,0.0,2.0,6.0,-0.333,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.5,Houghton
10,Kevin Skweres,2.0,3.0,0.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.5,Houghton
17,Owen Wienczkowski,3.0,9.0,0.0,10.0,0.9,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,12.5,Houghton
19,Andrew Archer,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.5,Houghton
11,Stephen Baker,2.0,3.0,2.0,12.0,0.083,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Houghton
2,Joshua Elegeer,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,Houghton
8,Logan Hering,2.0,7.0,0.0,12.0,0.583,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,7.5,Houghton
14,Caden Mealy,3.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,Houghton
5,Cameron Schleicher,2.0,0.0,1.0,4.0,-0.25,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.5,Houghton
12,tommy Clausz,3.0,3.0,0.0,6.0,0.5,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,Loras
23,ian Glashagel,3.0,7.0,5.0,19.0,0.105,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,Loras
13,parker Rings,3.0,2.0,0.0,5.0,0.4,25.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,Loras
11,matthew Schultz,3.0,3.0,0.0,11.0,0.273,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,Loras
