Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
16,Dylan Foreman,3.0,1.0,2.0,5.0,-0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Home
9,Ethan Makishima,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.5,Home
11,Riley Norman,3.0,18.0,4.0,32.0,0.438,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,18.0,Home
6,Kyle Ownbey,3.0,3.0,1.0,6.0,0.333,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,Home
4,Logan Taylor,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
18,Leo Tuncer,3.0,8.0,3.0,21.0,0.238,4.0,1.0,4.0,0.0,6.0,1.0,2.0,1.0,0.0,11.0,Home
22,Cebrian Carter,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Home
8,Marcus Donchuanchom,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
25,Nico Espinoza,3.0,3.0,1.0,6.0,0.333,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.5,Home
13,Noy Fisher,3.0,2.0,1.0,7.0,0.143,1.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,5.5,Home
2,Andrew Pak,3.0,1.0,0.0,1.0,1.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Home
24,Jalen Suwa,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Home
16,Jordan Cooper,3.0,7.0,5.0,19.0,0.105,1.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,7.5,Visitor
20,Borys Horiuk,3.0,9.0,0.0,15.0,0.6,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,13.5,Visitor
1,Taylor Marks,3.0,1.0,0.0,3.0,0.333,29.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,Visitor
23,Noah Rigo,3.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Visitor
17,Michael Stahl,3.0,11.0,2.0,20.0,0.45,1.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,0.0,12.5,Visitor
7,Ben Weber,3.0,4.0,3.0,13.0,0.077,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,Visitor
9,Logan Marks,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,Visitor
2,Vince Semon,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Visitor
23,Michael Cummins,3.0,5.0,3.0,17.0,0.118,1.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,5.5,Home
18,Pierce Faulcon,3.0,2.0,1.0,19.0,0.053,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.5,Home
13,Colin Mendoza,3.0,2.0,0.0,6.0,0.333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Home
1,Jackson Rutkowski,3.0,6.0,6.0,23.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,Home
4,Davin Stevenson,3.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,Home
12,Dominic Wheaton,3.0,0.0,3.0,6.0,-0.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.5,Home
5,Xzaiver Dixson,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Home
7,Leo Houser,3.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,Home
2,Cj Kingston,3.0,1.0,0.0,2.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Home
