Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
13,zachary Carff,3.0,6.0,2.0,22.0,0.182,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,Home
21,grant Edmonds,3.0,1.0,0.0,2.0,0.5,37.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,1.0,1.5,Home
4,tyler Johnwick,3.0,3.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.5,Home
10,nate Meyer,3.0,12.0,5.0,35.0,0.2,1.0,1.0,6.0,1.0,7.0,0.0,3.0,0.0,1.0,14.5,Home
6,caleb Rohlwing,3.0,8.0,0.0,13.0,0.615,0.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,11.0,Home
14,aaron Sallade,3.0,18.0,2.0,32.0,0.5,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,19.0,Home
1,jared Byas,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Home
25,bartosz Chmielewski,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
11,jackson Daugherty,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
7,jordan Orr,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,Home
6,,3.0,8.0,2.0,24.0,0.25,0.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,9.0,Visitor
20,casey Goss,3.0,8.0,10.0,39.0,-0.051,0.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,8.5,Visitor
12,michael Greco,3.0,4.0,0.0,6.0,0.667,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,Visitor
17,jason Kougan,3.0,1.0,0.0,5.0,0.2,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,4.5,Visitor
9,aaron Marrs,3.0,11.0,3.0,31.0,0.258,2.0,0.0,1.0,1.0,8.0,0.0,2.0,0.0,1.0,12.0,Visitor
3,owen Morrow,3.0,0.0,0.0,1.0,0.0,27.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,Visitor
2,ryan Barnett,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
10,tanner Dahman,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
11,grant Henderson,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,Visitor
19,kade Van assen,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
8,tyler Vrska,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
