Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
12,daniel Cancro,5.0,8.0,5.0,26.0,0.115,1.0,1.0,1.0,1.0,15.0,0.0,0.0,1.0,0.0,9.0,Warren Wilson
11,daniel Feliz,5.0,4.0,3.0,10.0,0.1,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,Warren Wilson
8,dominick Jenkins,5.0,0.0,2.0,2.0,-1.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.5,Warren Wilson
3,noah Kaneshiro-pate,5.0,0.0,1.0,3.0,-0.333,32.0,2.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,3.0,Warren Wilson
4,finn Oakley,5.0,13.0,10.0,37.0,0.081,0.0,2.0,4.0,2.0,15.0,0.0,0.0,0.0,0.0,15.0,Warren Wilson
10,jordan Tyler,5.0,19.0,11.0,49.0,0.163,0.0,2.0,1.0,2.0,12.0,0.0,1.0,0.0,0.0,21.5,Warren Wilson
6,philipp Bohnenkamp,5.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Warren Wilson
2,anibal Lopez,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Warren Wilson
2,ryan Daly jr.,5.0,1.0,1.0,6.0,0.0,39.0,0.0,3.0,0.0,9.0,0.0,1.0,1.0,0.0,1.5,Averett
10,mason Hollar,5.0,4.0,0.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,Averett
4,will Jack,5.0,11.0,6.0,35.0,0.143,0.0,0.0,7.0,2.0,12.0,0.0,2.0,0.0,0.0,12.0,Averett
1,nedas Nacickas,5.0,3.0,5.0,17.0,-0.118,0.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,8.0,Averett
11,ian Nicholson,5.0,25.0,12.0,66.0,0.197,4.0,5.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,30.0,Averett
7,jonah Tupelo,5.0,4.0,2.0,11.0,0.182,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6.5,Averett
5,will Bush,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Averett
3,ricky Castillo,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,Averett
9,jade Edwards,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Averett
5,Jack Centeno,5.0,15.0,9.0,45.0,0.133,2.0,0.0,5.0,0.0,7.0,0.0,4.0,2.0,0.0,17.0,NYU
7,Peter Gavroff,5.0,12.0,6.0,30.0,0.2,3.0,0.0,4.0,0.0,9.0,0.0,2.0,0.0,0.0,13.0,NYU
14,Haoxin Hu,5.0,9.0,1.0,15.0,0.533,1.0,0.0,3.0,0.0,0.0,1.0,7.0,4.0,0.0,13.5,NYU
3,Jackson Newcomb,5.0,3.0,5.0,15.0,-0.133,1.0,0.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,4.0,NYU
9,Ryan Oommen,5.0,5.0,0.0,6.0,0.833,36.0,1.0,1.0,0.0,5.0,1.0,3.0,2.0,0.0,8.5,NYU
2,Ari Osmanaj,5.0,5.0,1.0,12.0,0.333,0.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,9.5,NYU
6,Kairos Liang,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYU
16,Argjend Osmanaj,2.0,1.0,0.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,NYU
13,David Tang,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYU
11,Naoki Tani,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,NYU
8,Zachary Yao,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NYU
9,Luke Boyer,5.0,12.0,8.0,34.0,0.118,0.0,2.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,14.0,Baruch
13,Buddy Cohen,5.0,20.0,2.0,28.0,0.643,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,21.5,Baruch
20,Emerson Evans,5.0,3.0,7.0,20.0,-0.2,0.0,3.0,6.0,0.0,7.0,1.0,2.0,1.0,0.0,8.0,Baruch
15,Ry Kagan,5.0,13.0,6.0,22.0,0.318,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,15.0,Baruch
5,Devyn Nguyen,5.0,1.0,0.0,2.0,0.5,54.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,0.0,3.0,Baruch
8,Lucas Osiecki,5.0,8.0,9.0,27.0,-0.037,1.0,0.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,8.5,Baruch
16,Jack Candido,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Baruch
11,Angus Ebeling,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baruch
14,Jerry Feng,1.0,0.0,1.0,2.0,-0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Baruch
4,Zach Knudsen,5.0,1.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,Baruch
12,Jake Upham,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baruch
23,Matthew Warter,5.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Baruch
7,matthew Christ,4.0,14.0,5.0,28.0,0.321,1.0,5.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,20.0,Wilkes
3,ethan Cox,4.0,6.0,2.0,12.0,0.333,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,8.5,Wilkes
20,michael Martino,4.0,8.0,0.0,18.0,0.444,0.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,Wilkes
14,josh Matchett,4.0,4.0,0.0,9.0,0.444,37.0,2.0,7.0,0.0,6.0,0.0,2.0,2.0,0.0,7.0,Wilkes
11,nick Poulson,3.0,4.0,1.0,6.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,Wilkes
1,christian Wannamaker,4.0,8.0,5.0,18.0,0.167,1.0,0.0,4.0,2.0,6.0,1.0,1.0,0.0,1.0,9.5,Wilkes
12,benajmin Heist,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Wilkes
13,stephen Marquis,2.0,4.0,2.0,7.0,0.286,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Wilkes
5,kevin Stubbs,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Wilkes
2,paul Binner,4.0,3.0,1.0,8.0,0.25,0.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,6.5,Widener
15,aidan Hunter,4.0,4.0,2.0,9.0,0.222,2.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,5.0,Widener
1,lucas Mages,4.0,4.0,6.0,20.0,-0.1,1.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,5.5,Widener
9,jacob Mages,4.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,3.5,Widener
14,jackson Shafer,4.0,16.0,8.0,38.0,0.211,1.0,3.0,3.0,2.0,7.0,0.0,3.0,0.0,0.0,20.5,Widener
3,zach Shay,4.0,1.0,1.0,4.0,0.0,24.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,Widener
19,alex Derk,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Widener
11,landon Hinton,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Widener
12,noah Taylor,3.0,3.0,5.0,9.0,-0.222,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,Widener
13,sam Winter,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Widener
32,aidan Bolen,3.0,7.0,5.0,18.0,0.111,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,Edgewood
24,ty Heater,3.0,2.0,1.0,8.0,0.125,2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,4.5,Edgewood
3,garrett Mcnelis,3.0,8.0,1.0,13.0,0.538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5,Edgewood
23,zach Moreano,3.0,6.0,2.0,16.0,0.25,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,7.0,Edgewood
6,colin Schaefer,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,Edgewood
10,benjamin Schultz,3.0,3.0,2.0,9.0,0.111,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,5.5,Edgewood
