Team,Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Opponent
Eastern Nazarene,5,A garcia Fernandez,3.0,18.0,5.0,39.0,0.333,0.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,4,Christopher Gil,2.0,0.0,1.0,1.0,-1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,14,Jacob Lotts,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,MIT
Eastern Nazarene,9,Matthew Mucha,3.0,1.0,2.0,5.0,-0.2,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,3,Delfy Soler,3.0,8.0,5.0,21.0,0.143,1.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,23,Jacob Zarges,3.0,5.0,4.0,21.0,0.048,1.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,MIT
Eastern Nazarene,2,Nathan Caldwell,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,6,Aaron Huang,2.0,1.0,0.0,2.0,0.5,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,13,Ian Pacheco,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,8,Ryan Espinoza,3.0,9.0,3.0,20.0,0.3,0.0,3.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,MIT
Eastern Nazarene,12,Nick Gustafson,3.0,6.0,5.0,22.0,0.045,0.0,3.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,MIT
Eastern Nazarene,23,Phillip Johnson,3.0,11.0,3.0,21.0,0.381,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,MIT
Eastern Nazarene,11,Riley Oh,3.0,1.0,2.0,6.0,-0.167,30.0,3.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,MIT
Eastern Nazarene,22,Michael Rini,3.0,6.0,1.0,8.0,0.625,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,MIT
Eastern Nazarene,15,Kevin Zhu,3.0,5.0,2.0,14.0,0.214,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,MIT
Eastern Nazarene,1,George Chang,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,13,Jay Goettman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,24,Max Turner,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIT
Eastern Nazarene,16,Kevin Windisch,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,MIT
Bethany (WV),5,alexander Blair,3.0,1.0,1.0,9.0,0.0,13.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,Carlow
Bethany (WV),1,gabe Dombroff,3.0,1.0,0.0,3.0,0.333,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,Carlow
Bethany (WV),12,mckay Ginez,3.0,2.0,5.0,14.0,-0.214,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,Carlow
Bethany (WV),15,tyler Johnson,3.0,7.0,1.0,27.0,0.222,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),8,james Lucht,3.0,4.0,5.0,27.0,-0.037,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),24,rylan Trapp,3.0,2.0,0.0,7.0,0.286,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,Carlow
Bethany (WV),7,syed Ahmed,2.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),11,leonardo Locatelli,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),11,ryan Callahan,3.0,3.0,0.0,9.0,0.333,2.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),8,russ Cyprowski,3.0,10.0,6.0,22.0,0.182,0.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,Carlow
Bethany (WV),15,joshua Lee,3.0,5.0,3.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),10,jaden Michalski,3.0,1.0,0.0,6.0,0.167,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),17,will Piccolino,3.0,17.0,5.0,31.0,0.387,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),13,james Stone,3.0,1.0,0.0,3.0,0.333,31.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,Carlow
Bethany (WV),1,logan Alexander,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,Carlow
Bethany (WV),20,zachary Taylor,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Carlow
Cairn,2,josh Adler,3.0,0.0,0.0,4.0,0.0,15.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,New Jersey City
Cairn,15,joe Poirier,3.0,2.0,3.0,9.0,-0.111,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,New Jersey City
Cairn,12,sam Poirier,3.0,6.0,8.0,24.0,-0.083,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,New Jersey City
Cairn,3,tommy Ragonese,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,New Jersey City
Cairn,5,noah Ruiz esparza,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,New Jersey City
Cairn,9,jake Tolar,3.0,5.0,1.0,8.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,New Jersey City
Cairn,13,kobe Cash,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,New Jersey City
Cairn,14,david Larbi,3.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,New Jersey City
Cairn,21,nate Aguilar,3.0,1.0,0.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,New Jersey City
Cairn,18,james Bajor,3.0,7.0,4.0,17.0,0.176,0.0,4.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,New Jersey City
Cairn,22,alex Casais,3.0,1.0,0.0,1.0,1.0,29.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,New Jersey City
Cairn,14,brandon Dasilva,3.0,7.0,1.0,10.0,0.6,1.0,5.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,New Jersey City
Cairn,11,marcus Pardasie,3.0,8.0,6.0,17.0,0.118,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,New Jersey City
Cairn,10,mahmoud Serour,3.0,9.0,1.0,17.0,0.471,0.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,New Jersey City
Cairn,5,nico Figueroa,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,New Jersey City
Cairn,17,leandro Perez,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,New Jersey City
St. Joseph's (Brkln),14,alex Helfant,5.0,16.0,10.0,42.0,0.143,2.0,3.0,3.0,2.0,11.0,0.0,2.0,1.0,0.0,Pratt
St. Joseph's (Brkln),11,lasha Kemashvili,5.0,10.0,6.0,21.0,0.19,2.0,1.0,3.0,1.0,8.0,0.0,3.0,0.0,1.0,Pratt
St. Joseph's (Brkln),5,keiran Mcmullan,5.0,1.0,0.0,3.0,0.333,33.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,3.0,Pratt
St. Joseph's (Brkln),6,richard Ortega,5.0,0.0,1.0,2.0,-0.5,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,Pratt
St. Joseph's (Brkln),10,frank Rivera,5.0,8.0,8.0,34.0,0.0,0.0,1.0,4.0,4.0,14.0,0.0,1.0,0.0,0.0,Pratt
St. Joseph's (Brkln),8,frank Tello,5.0,6.0,4.0,18.0,0.111,2.0,0.0,3.0,1.0,10.0,3.0,2.0,0.0,0.0,Pratt
St. Joseph's (Brkln),7,levin Ma,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,Pratt
St. Joseph's (Brkln),15,wallace Hallot,5.0,4.0,6.0,22.0,-0.091,1.0,4.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,Pratt
St. Joseph's (Brkln),17,k Johnson,5.0,1.0,3.0,11.0,-0.182,0.0,2.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,Pratt
St. Joseph's (Brkln),12,joji Kawamura,5.0,6.0,7.0,24.0,-0.042,1.0,2.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,Pratt
St. Joseph's (Brkln),7,jason Raymond,5.0,8.0,3.0,22.0,0.227,0.0,0.0,2.0,1.0,4.0,1.0,5.0,0.0,0.0,Pratt
St. Joseph's (Brkln),5,brooks Reid,5.0,2.0,2.0,9.0,0.0,20.0,5.0,2.0,0.0,6.0,0.0,3.0,0.0,1.0,Pratt
St. Joseph's (Brkln),10,max Wang,5.0,8.0,14.0,37.0,-0.162,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,Pratt
St. Joseph's (Brkln),4,jude Fox,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pratt
St. Joseph's (Brkln),21,michael Litolff,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Pratt
Elmira,1,max Cohen,4.0,1.0,2.0,5.0,-0.2,39.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,Hilbert
Elmira,16,luke Jata,3.0,10.0,1.0,14.0,0.643,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,Hilbert
Elmira,20,jordan Peiser,4.0,9.0,3.0,21.0,0.286,0.0,3.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,4,edwin Sosa,4.0,14.0,7.0,34.0,0.206,2.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,Hilbert
Elmira,10,gabriel Staron,2.0,4.0,0.0,6.0,0.667,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,14,dylan Vargas,4.0,3.0,1.0,8.0,0.25,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,Hilbert
Elmira,12,connor Barton,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,3,cache Littrell,2.0,0.0,3.0,7.0,-0.429,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Hilbert
Elmira,25,jesus Lopez de jesus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,2,jake Suffa,3.0,6.0,2.0,11.0,0.364,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,7,alex Vega,4.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,1,austin Chandler,4.0,0.0,0.0,6.0,0.0,29.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,3,brad Converse,4.0,6.0,7.0,27.0,-0.037,2.0,0.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,Hilbert
Elmira,12,nikolas D'andrea,4.0,9.0,4.0,27.0,0.185,0.0,3.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,Hilbert
Elmira,13,tyler Hassell,4.0,7.0,2.0,14.0,0.357,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,Hilbert
Elmira,10,connor Higgins,4.0,10.0,4.0,22.0,0.273,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,9,drew O'neill,4.0,2.0,3.0,10.0,-0.1,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,2,noah Hart,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hilbert
Elmira,17,michael Pozzuto,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,Hilbert
Lasell,2,jan Baranowski,4.0,6.0,3.0,13.0,0.231,0.0,1.0,4.0,0.0,5.0,0.0,1.0,0.0,0.0,Nichols
Lasell,7,jesus Garcia,4.0,1.0,0.0,17.0,0.059,31.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,Nichols
Lasell,11,brenden Joyce,4.0,9.0,2.0,22.0,0.318,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,Nichols
Lasell,20,carter Phillips,4.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,Nichols
Lasell,15,dexter Thomas,4.0,4.0,1.0,11.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nichols
Lasell,14,theo Zaharewicz,4.0,19.0,3.0,44.0,0.364,0.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,1.0,Nichols
Lasell,12,cody Bonilla,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Nichols
Lasell,24,nathan Carter,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Nichols
Lasell,6,ryan Fuller,4.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,Nichols
Lasell,10,rande Monahan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Nichols
Lasell,3,jasper Schultz,3.0,1.0,2.0,7.0,-0.143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Nichols
Lasell,5,bryce Bonville,4.0,10.0,6.0,29.0,0.138,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,Nichols
Lasell,11,dylan Knapp,4.0,5.0,1.0,12.0,0.333,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,Nichols
Lasell,13,carlos Mercado,4.0,4.0,2.0,14.0,0.143,43.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,Nichols
Lasell,8,jack Normandin,4.0,13.0,7.0,28.0,0.214,2.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,Nichols
Lasell,14,bradyn Pomainville,4.0,5.0,2.0,11.0,0.273,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Nichols
Lasell,23,tanner Soracco,4.0,19.0,3.0,35.0,0.457,0.0,0.0,3.0,0.0,7.0,4.0,0.0,1.0,0.0,Nichols
