Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
Emmanuel Mass,Jacob Aronov,24,26,13,1,0.04,0,7,.143,147,5.65,15,0.58,23,0.88,1,1,0,1,1,0.04
Eastern Nazarene,Luis Palacio,1,2,2,1,0.50,0,1,1.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Eastern Nazarene,Fernando Paredes,2,77,23,1,0.01,0,5,.200,26,0.34,1,0.01,144,1.87,362,23,0,0,0,0.00
Eastern Nazarene,Delfy Soler,3,97,27,227,2.34,145,604,.136,21,0.22,34,0.35,151,1.56,476,39,6,27,33,0.34
Eastern Nazarene,Christopher Gil,4,45,22,4,0.09,6,23,-.087,168,3.73,5,0.11,31,0.69,1,0,1,0,1,0.02
Eastern Nazarene,Alejandro Garcia Fernandez,5,90,28,269,2.99,137,614,.215,20,0.22,62,0.69,115,1.28,412,28,11,10,21,0.23
Eastern Nazarene,Aaron Huang,6,56,24,6,0.11,6,28,.000,170,3.04,10,0.18,59,1.05,4,1,0,0,0,0.00
Eastern Nazarene,Chris Jaskiewicz,7,67,23,54,0.81,32,131,.168,13,0.19,10,0.15,40,0.60,7,0,10,24,34,0.51
Eastern Nazarene,Nathan Jacques,8,93,29,114,1.23,48,301,.219,568,6.11,41,0.44,149,1.60,63,1,7,23,30,0.32
Eastern Nazarene,Matthew Mucha,9,62,28,41,0.66,25,111,.144,2,0.03,16,0.26,34,0.55,10,2,0,16,16,0.26
Eastern Nazarene,Santiago Gerardi,10,30,12,23,0.77,7,63,.254,6,0.20,8,0.27,17,0.57,2,0,0,12,12,0.40
Eastern Nazarene,Isaiah Lee,11,25,15,15,0.60,16,59,-.017,0,0.00,4,0.16,11,0.44,9,1,0,5,5,0.20
Eastern Nazarene,Nick Thibeau,12,90,30,69,0.77,28,180,.228,20,0.22,16,0.18,54,0.60,6,0,4,40,44,0.49
Eastern Nazarene,Ian Pacheco,13,69,27,107,1.55,57,291,.172,6,0.09,15,0.22,77,1.12,186,8,1,7,8,0.12
Eastern Nazarene,Jacob Lotts,14,6,4,10,1.67,2,16,.500,0,0.00,2,0.33,3,0.50,1,0,1,1,2,0.33
Eastern Nazarene,Jacob Zarges,23,92,31,156,1.70,99,479,.119,10,0.11,24,0.26,60,0.65,1,0,6,22,28,0.30
Eastern Nazarene,Brandon Brown,26,72,28,11,0.15,5,27,.222,19,0.26,8,0.11,111,1.54,330,22,0,0,0,0.00
