Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Suny Poly,Forest Chaput,6,2,2,0,0.00,0,0,-,0,0.00,0,0.00,2,1.00,3,0,0,0,0,0.00,0.0,0.0
Suny Poly,Kohei Clark,7,86,23,187,2.17,110,493,.156,18,0.21,38,0.44,116,1.35,354,32,2,15,17,0.20,234.5,2.7
Suny Poly,Thomas O'Reilly,8,1,1,0,0.00,0,0,-,0,0.00,2,2.00,0,0.00,0,0,0,0,0,0.00,2.0,2.0
Suny Poly,Jack Mitchell,9,5,3,7,1.40,0,7,1.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,7.0,1.4
Suny Poly,Ethan Davis,11,3,2,1,0.33,2,6,-.167,0,0.00,0,0.00,0,0.00,7,1,0,0,0,0.00,1.0,0.3
Suny Poly,James Mion,13,88,24,143,1.63,31,305,.367,3,0.03,28,0.32,40,0.45,4,2,21,44,65,0.74,214.0,2.4
Suny Poly,Nate Jennings,17,11,6,17,1.55,14,42,.071,0,0.00,5,0.45,5,0.45,11,2,0,1,1,0.09,22.5,2.0
Suny Poly,Jordan Weir,18,89,24,109,1.22,53,248,.226,1,0.01,15,0.17,13,0.15,1,0,8,52,60,0.67,158.0,1.8
Suny Poly,Peter Gottler,23,89,24,144,1.62,90,399,.135,8,0.09,22,0.25,79,0.89,182,12,7,24,31,0.35,185.0,2.1
Suny Poly,Patrick Farrell,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
