Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
6,alex Bertino,3.0,7.0,5.0,21.0,0.095,0.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,10.5,Home
14,andrew Bodensteiner,3.0,2.0,3.0,12.0,-0.083,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.5,Home
5,aj Burda,3.0,0.0,0.0,1.0,0.0,28.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,Home
15,nathan Dejoy,2.0,3.0,1.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.5,Home
12,josh Weaver,3.0,6.0,1.0,10.0,0.5,5.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,Home
4,owen Wickens,3.0,15.0,3.0,25.0,0.48,3.0,7.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,22.5,Home
8,anthony Caimano,1.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Home
7,jackson Camblin,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
13,jonathon Jackson,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,Home
11,tyler Manchester,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Home
2,jack Martin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Home
16,jake O'sullivan,1.0,3.0,1.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Home
10,joe Seliger,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Home
1,jason Aubrey,3.0,7.0,4.0,18.0,0.167,3.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,8.5,Visitor
3,peter Gottler,3.0,4.0,0.0,19.0,0.211,2.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,4.5,Visitor
7,thomas Mcnulty,3.0,3.0,3.0,10.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,4.0,Visitor
13,james Mion,3.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.5,Visitor
4,joshua Slater,3.0,2.0,1.0,7.0,0.143,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Visitor
18,jordan Weir,3.0,3.0,2.0,8.0,0.125,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.5,Visitor
6,forest Chaput,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,Visitor
17,nate Jennings,1.0,0.0,1.0,2.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
5,brendan Palmer,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Visitor
10,aidan Snover,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Visitor
12,zack Farren,3.0,0.0,0.0,1.0,0.0,30.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Home
13,grayson Getz,3.0,5.0,3.0,10.0,0.2,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,5.5,Home
4,andrew Kim,3.0,16.0,3.0,26.0,0.5,1.0,4.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,20.0,Home
2,nate Magni,3.0,5.0,1.0,10.0,0.4,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.5,Home
9,daniel Sappia,3.0,3.0,4.0,15.0,-0.067,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,Home
7,anthony Zontini,3.0,8.0,1.0,16.0,0.438,0.0,1.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,10.0,Home
15,noah Delong,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Home
1,gavin Meador,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,Home
8,,3.0,3.0,3.0,18.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,Visitor
1,daniel Easly,3.0,7.0,2.0,14.0,0.357,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,Visitor
3,alex Jackson,3.0,0.0,1.0,2.0,-0.5,23.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,Visitor
18,lewis Rhodes,3.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,Visitor
10,kevin Skweres,3.0,6.0,1.0,14.0,0.357,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.5,Visitor
17,owen Wienczkowski,3.0,6.0,1.0,10.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,8.5,Visitor
4,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Visitor
2,joshua Elegeer,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,Visitor
12,kyle Hoffman,2.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,Visitor
