Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Elms,Tahir Busaidy,11,,,0,0.00,0,1,.000,0,0.00,2,0.40,0,0.00,0,0,0,0,0,0.00,2.0,0.4
Elms,David Tompkins,13,,,1,0.01,1,2,.000,1,0.01,10,0.15,18,0.26,1,0,0,1,1,0.01,11.5,0.2
Elms,Rafa Artero,14,,,91,0.96,45,264,.174,5,0.05,15,0.16,34,0.36,1,0,17,52,69,0.73,149.0,1.6
Elms,John Bellafronte,15,,,160,2.29,83,474,.162,14,0.20,33,0.47,98,1.40,300,22,2,18,20,0.29,204.0,2.9
Elms,,,,,473,2414,.144,761,7.77,173,1.77,1828,245,35,179,867,8.85,125,1.27,1117.5,11.4,,
Elms,,,,,440,2566,.261,1019,10.40,270,2.76,,150,22,234,968,9.88,139,1.42,1520.0,15.5,,
CUW,Ryan Burris,1,,,0,0.00,0,3,.000,0,0.00,0,0.00,0,0.00,7,0,0,1,1,0.50,0.5,0.3
CUW,Logan Rauter,2,,,0,0.00,0,0,,0,0.00,1,0.50,0,0.00,0,0,0,0,0,0.00,1.0,0.5
CUW,Tate Hildebrandt,6,,,1,0.33,3,8,-.250,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,1.0,0.3
CUW,Hayden Hurley,7,,,6,0.10,2,20,.200,289,4.66,5,0.08,62,1.00,2,0,0,7,7,0.11,14.5,0.2
CUW,Parker Pearson,8,,,1,0.01,1,10,.000,23,0.26,0,0.00,219,2.49,524,23,0,0,0,0.00,1.0,0.0
CUW,Matthew Hinderberger,9,,,0,0.00,0,0,,1,0.25,0,0.00,4,1.00,8,1,0,0,0,0.00,0.0,0.0
CUW,Tate Miller,10,,,192,2.26,75,510,.229,25,0.29,5,0.06,182,2.14,460,15,2,43,45,0.53,220.5,2.6
CUW,Reid Scott,11,,,249,2.93,129,737,.163,7,0.08,15,0.18,130,1.53,17,4,1,35,36,0.42,282.5,3.3
CUW,Elliot Wagner,12,,,0,0.00,1,1,-1.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
CUW,Logan Kebisek,13,,,32,0.39,8,75,.320,474,5.78,15,0.18,80,0.98,2,0,0,8,8,0.10,51.0,0.6
CUW,Owen Kolozsy,14,,,118,2.07,73,357,.126,25,0.44,11,0.19,107,1.88,378,22,3,25,28,0.49,144.5,2.5
CUW,Lucas Beres,15,,,135,1.59,47,299,.294,4,0.05,22,0.26,36,0.42,18,0,22,68,90,1.06,213.0,2.5
CUW,Kellen Gonzales,17,,,61,1.45,41,196,.102,12,0.29,7,0.17,69,1.64,204,4,0,11,11,0.26,73.5,1.8
CUW,Zach Koeferl,18,,,,,,,,,,,,,,,,,,,,,
CUW,Benjamin Groll,19,,,1,0.33,0,5,.200,6,2.00,0,0.00,1,0.33,0,0,0,0,0,0.00,1.0,0.3
CUW,Parker Butterfass,20,,,22,0.79,7,54,.278,2,0.07,2,0.07,6,0.21,0,0,0,17,17,0.61,32.5,1.2
CUW,Will Wood,21,,,32,0.97,18,82,.171,0,0.00,0,0.00,3,0.09,0,0,0,9,9,0.27,36.5,1.1
CUW,Antonio Evans,22,,,0,0.00,2,6,-.333,0,0.00,1,0.03,4,0.14,8,0,0,0,0,0.00,1.0,0.0
CUW,Chase Ammons,24,,,104,1.25,29,221,.339,2,0.02,10,0.12,27,0.33,2,1,10,64,74,0.89,156.0,1.9
CUW,,,,,436,2584,.200,870,9.89,94,1.07,1634,74,38,288,930,10.57,182,2.07,1228.5,14.0,,
CUW,,,,,465,2753,.244,1052,11.95,89,1.01,,82,55,196,1003,11.40,153,1.74,1377.0,15.6,,
