Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wittenberg,Luke Teters,24,15,8,9,0.60,6,23,.130,0,0.00,0,0.00,5,0.33,2,0,0,2,2,0.13,10.0,0.7
Wittenberg,Brooklyn Hollander,38,21,7,0,0.00,1,7,-.143,2,0.10,1,0.05,24,1.14,96,2,0,0,0,0.00,1.0,0.0
Endicott,Luke Madson,1,1,1,6,6.00,1,9,.556,0,0.00,0,0.00,1,1.00,6,2,0,0,0,0.00,6.0,6.0
Endicott,Dan Battista,2,17,7,0,0.00,0,1,.000,5,0.29,0,0.00,40,2.35,8,0,0,0,0,0.00,0.0,0.0
Endicott,Adin Jepsky,3,30,10,0,0.00,1,2,-.500,7,0.23,5,0.17,28,0.93,14,0,0,0,0,0.00,5.0,0.2
Endicott,Mason Mallory,7,11,6,19,1.73,25,74,-.081,1,0.09,3,0.27,16,1.45,66,7,0,2,2,0.18,23.0,2.1
Endicott,Ryan Childress,8,3,2,2,0.67,1,5,.200,0,0.00,0,0.00,0,0.00,0,0,0,1,1,0.33,2.5,0.8
Endicott,Nicholas Pascual,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Endicott,Vance Mallory,10,29,10,0,0.00,0,1,.000,12,0.41,0,0.00,24,0.83,195,8,0,0,0,0.00,0.0,0.0
Endicott,Aidan Napoli,11,6,4,0,0.00,0,2,.000,14,2.33,1,0.17,8,1.33,0,0,1,0,1,0.17,2.0,0.3
Endicott,Gavin Emenaker,12,31,10,10,0.32,4,28,.214,279,9.00,4,0.13,37,1.19,2,0,0,5,5,0.16,16.5,0.5
Endicott,Jake Laborde,13,26,10,88,3.38,44,209,.211,5,0.19,12,0.46,30,1.15,134,9,1,3,4,0.15,102.5,3.9
Endicott,Matty Tiernan,14,7,5,0,0.00,0,1,.000,22,3.14,0,0.00,8,1.14,0,0,0,0,0,0.00,0.0,0.0
Endicott,Dean Warner,15,28,9,93,3.32,49,204,.216,0,0.00,4,0.14,37,1.32,1,1,1,13,14,0.50,104.5,3.7
Endicott,Aaron Bennett,16,4,3,0,0.00,0,1,.000,0,0.00,0,0.00,0,0.00,0,0,0,1,1,0.25,0.5,0.1
Endicott,Aidan Iacovelli,17,28,9,94,3.36,48,221,.208,4,0.14,6,0.21,38,1.36,171,11,1,4,5,0.18,103.0,3.7
Endicott,Alex Bui,18,8,3,0,0.00,1,3,-.333,0,0.00,3,0.38,1,0.13,0,0,0,0,0,0.00,3.0,0.4
Endicott,Avery Tyson,19,30,10,8,0.27,8,24,.000,1,0.03,4,0.13,5,0.17,1,0,1,13,14,0.47,19.5,0.7
Endicott,Corey Klass Jr.,21,10,5,18,1.80,7,33,.333,0,0.00,0,0.00,5,0.50,0,0,0,2,2,0.20,19.0,1.9
Endicott,Logan Pohl,22,31,10,31,1.00,12,62,.306,1,0.03,7,0.23,14,0.45,2,1,6,14,20,0.65,51.0,1.6
Endicott,Alexei Kraytman,23,1,1,4,4.00,4,10,.000,0,0.00,0,0.00,0,0.00,9,0,0,0,0,0.00,4.0,4.0
Sage,Carlos Ilert,1,7,2,2,0.29,6,14,-.286,0,0.00,0,0.00,2,0.29,17,2,0,0,0,0.00,2.0,0.3
Sage,Deshawn Fleary,3,21,6,5,0.24,5,17,.000,25,1.19,1,0.05,30,1.43,63,3,0,6,6,0.29,9.0,0.4
Sage,Andrew Samson,4,12,4,5,0.42,8,22,-.136,0,0.00,1,0.08,2,0.17,1,0,0,8,8,0.67,10.0,0.8
Sage,Elijah Tortorici,5,3,2,0,0.00,1,1,-1.000,0,0.00,0,0.00,2,0.67,0,0,0,0,0,0.00,0.0,0.0
Sage,Dylan Fox,6,26,7,91,3.50,46,209,.215,4,0.15,9,0.35,50,1.92,124,4,0,15,15,0.58,107.5,4.1
Sage,Connor (CJ) Murphy,7,21,7,1,0.05,1,16,.000,100,4.76,4,0.19,16,0.76,1,0,0,3,3,0.14,6.5,0.3
Sage,Spencer Cooper,8,15,6,5,0.33,7,27,-.074,0,0.00,2,0.13,8,0.53,0,0,0,0,0,0.00,7.0,0.5
Sage,Jack McWilliam,9,25,7,2,0.08,3,8,-.125,88,3.52,4,0.16,28,1.12,113,7,1,0,1,0.04,7.0,0.3
Sage,Alexander Bergman,10,25,7,11,0.44,8,39,.077,0,0.00,14,0.56,3,0.12,0,0,1,9,10,0.40,30.5,1.2
Sage,Carlo Rossi A. Occeño,11,15,6,0,0.00,1,1,-1.000,0,0.00,0,0.00,13,0.87,19,5,0,0,0,0.00,0.0,0.0
Sage,Michael Bruyette,12,25,7,19,0.76,10,40,.225,2,0.08,2,0.08,6,0.24,1,0,1,19,20,0.80,31.5,1.3
Sage,Marcus Gentile,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sage,Wylkins Occelin,16,23,6,38,1.65,24,114,.123,2,0.09,1,0.04,16,0.70,48,6,0,11,11,0.48,44.5,1.9
Sage,Jarod Martel,17,26,7,71,2.73,44,172,.157,4,0.15,5,0.19,48,1.85,93,8,0,3,3,0.12,77.5,3.0
Suny Poly,Jason Aubrey,1,30,10,80,2.67,54,217,.120,6,0.20,8,0.27,52,1.73,115,10,4,9,13,0.43,96.5,3.2
Suny Poly,Ethan Davis,2,4,4,1,0.25,1,3,.000,0,0.00,0,0.00,1,0.25,0,0,0,0,0,0.00,1.0,0.3
Suny Poly,Peter Gottler,3,36,11,60,1.67,33,193,.140,6,0.17,13,0.36,58,1.61,141,13,2,7,9,0.25,78.5,2.2
Suny Poly,Joshua Slater,4,36,11,22,0.61,6,78,.205,257,7.14,5,0.14,52,1.44,1,0,1,6,7,0.19,31.0,0.9
Suny Poly,Brendan Palmer,5,36,11,1,0.03,0,4,.250,7,0.19,5,0.14,61,1.69,87,9,0,0,0,0.00,6.0,0.2
Suny Poly,Forest Chaput,6,35,11,0,0.00,1,2,-.500,4,0.11,2,0.06,41,1.17,175,17,0,0,0,0.00,2.0,0.1
Suny Poly,Thomas McNulty,7,31,10,19,0.61,26,92,-.076,12,0.39,5,0.16,43,1.39,63,3,1,0,1,0.03,25.0,0.8
Suny Poly,Dylan Acampora,9,12,6,5,0.42,4,17,.059,0,0.00,0,0.00,3,0.25,2,0,1,2,3,0.25,7.0,0.6
Suny Poly,Aidan Snover,10,11,7,0,0.00,0,0,-,0,0.00,0,0.00,1,0.09,9,1,0,0,0,0.00,0.0,0.0
Suny Poly,James Mion,13,36,11,61,1.69,11,137,.365,1,0.03,5,0.14,23,0.64,1,0,15,10,25,0.69,86.0,2.4
Suny Poly,Nate Jennings,17,15,8,16,1.07,8,46,.174,0,0.00,0,0.00,2,0.13,10,1,0,1,1,0.07,16.5,1.1
Suny Poly,Jordan Weir,18,36,11,57,1.58,17,128,.313,1,0.03,12,0.33,12,0.33,1,0,7,15,22,0.61,83.5,2.3
Suny Poly,Pin Chi Liang,23,2,2,0,0.00,1,2,-.500,0,0.00,0,0.00,2,1.00,5,0,0,0,0,0.00,0.0,0.0
Suny Poly,Quighan Cai,24,5,4,1,0.20,1,4,.000,0,0.00,0,0.00,1,0.20,4,2,0,0,0,0.00,1.0,0.2
