Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
6,nicolai Bell,3.0,6.0,5.0,15.0,0.067,0.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,10.5,Wentworth
4,brayden Green,3.0,1.0,1.0,5.0,0.0,28.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.5,Wentworth
1,tyler Jack,3.0,13.0,2.0,21.0,0.524,0.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,17.5,Wentworth
24,ryan Roller,3.0,11.0,3.0,22.0,0.364,2.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,15.5,Wentworth
18,gabe Tucker,3.0,7.0,4.0,17.0,0.176,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,Wentworth
19,matthew Zegowitz,3.0,3.0,1.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,5.5,Wentworth
3,mekhi Burns,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Wentworth
2,antonio Marino,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Wentworth
13,josh Milke,2.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.5,Wentworth
21,jacob Waga,2.0,2.0,2.0,7.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,Wentworth
7,peter Gavroff,3.0,7.0,5.0,20.0,0.1,2.0,2.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,11.5,Baruch
10,juancarlos Henriquez,3.0,4.0,2.0,9.0,0.222,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.5,Baruch
4,aleksandr Howard,3.0,0.0,2.0,3.0,-0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,Baruch
3,jackson Newcomb,2.0,4.0,1.0,5.0,0.6,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.5,Baruch
9,ryan Oommen,3.0,0.0,1.0,2.0,-0.5,19.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Baruch
2,ari Osmanaj,3.0,4.0,1.0,7.0,0.429,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,8.5,Baruch
5,jack Centeno,2.0,5.0,6.0,14.0,-0.071,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,5.5,Baruch
14,haoxin Hu,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Baruch
12,gorton Law,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Baruch
16,argjend Osmanaj,3.0,3.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.5,Baruch
11,naoki Tani,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,Baruch
9,jyles Amirault,4.0,3.0,5.0,16.0,-0.125,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,4.0,Emmanuel (MA)
17,louis Da silva,4.0,6.0,2.0,11.0,0.364,0.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,0.0,10.5,Emmanuel (MA)
5,dominic Deferrari,4.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,Emmanuel (MA)
12,trey Guest,4.0,7.0,4.0,20.0,0.15,1.0,0.0,2.0,0.0,8.0,0.0,6.0,0.0,0.0,10.0,Emmanuel (MA)
6,aiden Mcgowan,4.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,Emmanuel (MA)
22,michael Shelley,4.0,22.0,9.0,42.0,0.31,0.0,3.0,5.0,2.0,5.0,1.0,4.0,0.0,0.0,28.0,Emmanuel (MA)
21,carlton Cummings,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emmanuel (MA)
1,nick Sciabica,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,Emmanuel (MA)
8,aj Fitzgerald,4.0,9.0,8.0,26.0,0.038,1.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,9.5,SUNY New Paltz
13,mike Handell,4.0,4.0,1.0,9.0,0.333,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,5.5,SUNY New Paltz
11,krish Jain,4.0,8.0,3.0,16.0,0.313,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,SUNY New Paltz
4,christopher Larkin,4.0,1.0,6.0,14.0,-0.357,0.0,2.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,3.5,SUNY New Paltz
2,patrick Soulias,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
5,matt Teplansky,1.0,1.0,2.0,5.0,-0.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.5,SUNY New Paltz
14,adam Brawn,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,SUNY New Paltz
1,luke Hofer,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
19,matt Kudlinksi,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
3,carter Lotz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
15,daniel Shanley,4.0,6.0,1.0,7.0,0.714,33.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,SUNY New Paltz
6,teddy Teraszkiewicz,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
10,pat Wing,4.0,20.0,3.0,39.0,0.436,2.0,1.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,21.5,SUNY New Paltz
12,gavin Emenaker,4.0,1.0,0.0,5.0,0.2,41.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,Endicott
17,aidan Iacovelli,4.0,9.0,5.0,29.0,0.138,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,9.0,Endicott
13,jake Laborde,4.0,18.0,5.0,30.0,0.433,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,18.0,Endicott
22,logan Pohl,4.0,2.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.5,Endicott
19,avery Tyson,4.0,2.0,1.0,3.0,0.333,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,Endicott
15,dean Warner,4.0,16.0,9.0,31.0,0.226,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,17.5,Endicott
2,dan Battista,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,Endicott
3,adin Jepsky,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Endicott
10,vance Mallory,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Endicott
8,aj Fitzgerald,4.0,7.0,3.0,21.0,0.19,0.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,7.5,SUNY New Paltz
13,mike Handell,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,SUNY New Paltz
11,krish Jain,4.0,7.0,1.0,12.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,SUNY New Paltz
4,christopher Larkin,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,SUNY New Paltz
17,matt Marusza,4.0,1.0,0.0,1.0,1.0,48.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.5,SUNY New Paltz
10,pat Wing,4.0,26.0,4.0,45.0,0.489,1.0,3.0,7.0,0.0,1.0,0.0,4.0,0.0,0.0,31.0,SUNY New Paltz
1,luke Hofer,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
19,matt Kudlinksi,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,SUNY New Paltz
9,graham Labeck,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
16,geoff Ndoria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,SUNY New Paltz
7,bennett Petrik,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,4.5,SUNY New Paltz
15,daniel Shanley,4.0,8.0,8.0,20.0,0.0,1.0,3.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,11.5,SUNY New Paltz
6,teddy Teraszkiewicz,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SUNY New Paltz
5,bryce Bonville,4.0,6.0,2.0,13.0,0.308,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,6.5,Nichols
11,dylan Knapp,4.0,8.0,1.0,12.0,0.583,0.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,12.5,Nichols
13,carlos Mercado,3.0,0.0,0.0,6.0,0.0,23.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Nichols
8,jack Normandin,3.0,8.0,1.0,14.0,0.5,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,Nichols
14,bradyn Pomainville,4.0,9.0,0.0,13.0,0.692,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,Nichols
23,tanner Soracco,3.0,5.0,3.0,15.0,0.133,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,7.5,Nichols
16,kg Bennett,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.5,Nichols
15,cade Bernardi,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,Nichols
10,josh Churko,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nichols
3,sachio Kekati,3.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,Nichols
4,nick Martin,3.0,5.0,1.0,10.0,0.4,7.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,Nichols
9,cody Porter,1.0,0.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nichols
2,evan Sachs,2.0,1.0,0.0,1.0,1.0,11.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,Nichols
10,juancarlos Henriquez,4.0,10.0,4.0,23.0,0.261,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,10.0,Baruch
4,aleksandr Howard,4.0,3.0,1.0,9.0,0.222,0.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,4.5,Baruch
6,kairos Liang,4.0,6.0,6.0,17.0,0.0,1.0,2.0,4.0,7.0,2.0,0.0,0.0,1.0,0.0,8.0,Baruch
3,jackson Newcomb,3.0,4.0,0.0,5.0,0.8,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,Baruch
9,ryan Oommen,4.0,2.0,1.0,7.0,0.143,29.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,Baruch
2,ari Osmanaj,4.0,7.0,2.0,13.0,0.385,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,Baruch
14,haoxin Hu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baruch
12,gorton Law,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,Baruch
16,argjend Osmanaj,4.0,7.0,5.0,19.0,0.105,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,7.5,Baruch
13,david Tang,3.0,0.0,1.0,2.0,-0.5,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Baruch
11,naoki Tani,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Baruch
8,zachary Yao,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Baruch
16,jordan Cooper,3.0,6.0,4.0,13.0,0.154,0.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,6.5,Cal Lutheran
20,borys Horiuk,2.0,1.0,3.0,6.0,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cal Lutheran
1,taylor Marks,3.0,2.0,6.0,14.0,-0.286,28.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,Cal Lutheran
23,noah Rigo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cal Lutheran
17,michael Stahl,3.0,7.0,3.0,18.0,0.222,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,7.5,Cal Lutheran
7,ben Weber,3.0,5.0,2.0,15.0,0.2,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,6.0,Cal Lutheran
10,grant Hughes,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cal Lutheran
9,logan Marks,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,Cal Lutheran
3,trent Rigney,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cal Lutheran
2,vince Semon,3.0,7.0,2.0,19.0,0.263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Cal Lutheran
22,matthew Wilcox,3.0,5.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,6.0,Cal Lutheran
23,dorian Fiorenza,3.0,11.0,1.0,24.0,0.417,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0,Loras
8,joe Horn,3.0,3.0,2.0,6.0,0.167,30.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,4.5,Loras
11,tyler Kratochvil,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.5,Loras
25,corey Mayotte,3.0,14.0,3.0,35.0,0.314,0.0,3.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,19.0,Loras
18,roman Rothermel,3.0,3.0,0.0,6.0,0.5,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,Loras
13,sean Wenzel,3.0,3.0,1.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,Loras
4,hayden Dal degan,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Loras
29,ryan Floyd,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,Loras
7,brady Oberfoell,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,Loras
20,kevin Boncaro,5.0,16.0,9.0,57.0,0.123,0.0,0.0,3.0,0.0,14.0,1.0,3.0,0.0,0.0,18.5,Trine
21,karl Both,5.0,9.0,2.0,20.0,0.35,0.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,11.0,Trine
5,johnson-kuhao Ho'okano-pelekai,5.0,8.0,7.0,36.0,0.028,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,9.0,Trine
14,ted Hofmesiter,5.0,22.0,6.0,53.0,0.302,2.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,22.0,Trine
