Number,Name,Sets,Kills,Errors,Total Attempts,Hit Percentage,Assists,Service Aces,Service Errors,Reception Errors,Digs,Block Solo,Block Assists,Block Errors,Ball Handling Errors,Points,Team
8,daniel Earnest,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
6,caleb Goetz,3.0,1.0,4.0,6.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Maranatha Baptist
13,titus Huston,3.0,1.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,Maranatha Baptist
16,jonathan Knight,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
12,daniel Says,3.0,1.0,4.0,9.0,-0.333,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Maranatha Baptist
20,jacob Valeria,3.0,4.0,3.0,15.0,0.067,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,Maranatha Baptist
2,aaron Joyner,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
7,tyler Lacock,3.0,1.0,4.0,7.0,-0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,Maranatha Baptist
14,luke Nason,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
3,ben Yenger,3.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Maranatha Baptist
7,bryson Abernathy,3.0,4.0,3.0,13.0,0.077,0.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,CarolinaU
9,jacob Brown,3.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,CarolinaU
1,tijhmir Glasco,3.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,1.0,3.5,CarolinaU
11,andrew Jackson,3.0,4.0,1.0,5.0,0.6,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,9.5,CarolinaU
