Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions Errors,Receptions,Block Solo,Block Assist,Total Blocks,Blocks/Set
Randolph-Macon,Matteo DeLuca,9,77,23,1,0.01,1,4,.000,18,0.23,10,0.13,74,0.96,4,128,0,0,0,0.00
Randolph-Macon,Nick Futrell,10,72,22,52,0.72,24,145,.193,3,0.04,0,0.00,13,0.18,0,4,7,49,56.0,0.78
Randolph-Macon,P van Essendelft,11,6,2,12,2.00,0,15,.800,1,0.17,0,0.00,3,0.50,0,0,1,3,4.0,0.67
Randolph-Macon,Phillip Van Essendelft,11,69,20,138,2.00,38,276,.362,8,0.12,11,0.16,35,0.51,0,1,7,43,50.0,0.72
Randolph-Macon,Ian Wagenhauser,12,79,23,264,3.34,139,595,.210,19,0.24,44,0.56,106,1.34,18,356,3,25,28.0,0.35
Randolph-Macon,Andrew Burmeister,13,68,23,1,0.01,0,2,.500,13,0.19,6,0.09,40,0.59,5,57,0,0,0,0.00
Randolph-Macon,Mitchell Wyatt,17,66,23,123,1.86,47,318,.239,5,0.08,0,0.00,28,0.42,7,148,2,10,12.0,0.18
Randolph-Macon,JB Brizendine,18,7,5,5,0.71,2,11,.273,0,0.00,2,0.29,1,0.14,0,1,0,1,1.0,0.14
Randolph-Macon,Caleb Crowther,22,70,21,0,0.00,0,3,.000,19,0.27,10,0.14,63,0.90,11,157,0,0,0,0.00
Randolph-Macon,Seneca Gibson,23,10,6,16,1.60,2,36,.389,0,0.00,2,0.20,9,0.90,0,24,1,3,4.0,0.40
Randolph-Macon,Aaron Steuart,30,9,4,6,0.67,4,12,.167,0,0.00,1,0.11,2,0.22,0,6,0,4,4.0,0.44
Randolph-Macon,Nathan Karluk,33,8,5,11,1.38,2,20,.450,1,0.13,0,0.00,1,0.13,1,1,0,6,6.0,0.75
Randolph-Macon,Bryce Matthews,35,74,24,165,2.23,79,501,.172,5,0.07,7,0.09,104,1.41,0,1,6,34,40.0,0.54
Roanoke,Jackson Rutkowski,1,85,26,242,2.85,125,604,.194,13,0.15,21,0.25,93,1.09,11,346,4,24,28.0,0.33
Roanoke,CJ Kingston,2,95,27,48,0.51,27,160,.131,12,0.13,21,0.22,138,1.45,11,280,2,7,9.0,0.09
Roanoke,Kaeden Noble,3,96,27,5,0.05,1,24,.167,61,0.64,0,0.00,271,2.82,21,483,0,0,0,0.00
Roanoke,Teagan Cole,4,78,25,7,0.09,6,47,.021,423,5.42,25,0.32,110,1.41,0,2,0,0,0,0.00
Roanoke,Leo Houser,7,4,2,0,0.00,0,1,.000,15,3.75,0,0.00,5,1.25,0,2,0,0,0,0.00
Roanoke,Gabe Fabbro,8,92,27,40,0.43,13,97,.278,446,4.85,10,0.11,42,0.46,2,4,5,31,36.0,0.39
Roanoke,Davion Bowie,9,10,8,10,1.00,13,33,-.091,2,0.20,7,0.70,4,0.40,2,12,0,1,1.0,0.10
Roanoke,Todd Sager,11,17,9,12,0.71,9,30,.100,1,0.06,3,0.18,1,0.06,0,0,0,8,8.0,0.47
Roanoke,Dominic Wheaton,12,57,16,89,1.56,31,181,.320,1,0.02,3,0.05,18,0.32,3,5,5,29,34.0,0.60
Roanoke,Colin Mendoza,13,90,26,113,1.26,43,248,.282,15,0.17,21,0.23,32,0.36,1,5,21,64,85.0,0.94
Roanoke,Andre Gates,14,43,14,55,1.28,15,104,.385,2,0.05,0,0.00,4,0.09,3,6,2,35,37.0,0.86
Roanoke,Riley Coffren,15,53,21,1,0.02,0,1,1.000,2,0.04,5,0.09,18,0.34,1,32,0,0,0,0.00
Roanoke,Nathan Scherber,16,2,2,2,1.00,0,5,.400,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Roanoke,Pierce Faulcon,18,54,25,95,1.76,41,249,.217,3,0.06,3,0.06,32,0.59,0,0,4,16,20.0,0.37
Roanoke,Dominic Colton,20,11,9,8,0.73,9,34,-.029,0,0.00,0,0.00,13,1.18,0,0,0,2,2.0,0.18
Roanoke,Logan Chappell,21,11,9,17,1.55,16,48,.021,0,0.00,2,0.18,7,0.64,5,34,2,5,7.0,0.64
Roanoke,Connor Tyson,22,76,25,24,0.32,13,63,.175,10,0.13,10,0.13,35,0.46,2,89,1,3,4.0,0.05
Roanoke,Michael Cummins,23,91,27,245,2.69,115,634,.205,8,0.09,29,0.32,152,1.67,13,390,4,33,37.0,0.41
Roanoke,Cade Kinne,24,52,23,108,2.08,47,235,.260,7,0.13,0,0.00,22,0.42,0,1,2,21,23.0,0.44
Elizabethtown,Ethan Scott,1,37,16,5,0.14,2,21,.143,285,7.70,5,0.14,49,1.32,2,4,3,8,11.0,0.30
Elizabethtown,Mason Boyer,2,67,22,149,2.22,92,366,.156,10,0.15,10,0.15,85,1.27,14,300,13,14,27.0,0.40
Elizabethtown,Patrick Neyer,3,62,21,8,0.13,1,16,.438,154,2.48,15,0.24,49,0.79,0,5,2,3,5.0,0.08
Elizabethtown,Trey Weedon,4,13,8,14,1.08,12,42,.048,0,0.00,0,0.00,3,0.23,1,5,3,1,4.0,0.31
Elizabethtown,Alan Lisman,5,28,15,10,0.36,13,41,-.073,0,0.00,4,0.14,20,0.71,2,60,0,0,0,0.00
Elizabethtown,Braydon Ambruster,6,75,23,171,2.28,63,363,.298,371,4.95,17,0.23,81,1.08,2,84,18,39,57.0,0.76
Elizabethtown,Cole Burkhardt,9,30,14,25,0.83,3,48,.458,4,0.13,2,0.07,10,0.33,0,1,9,15,24.0,0.80
Elizabethtown,Ben Robbins,10,62,22,0,0.00,0,2,.000,7,0.11,12,0.19,30,0.48,1,42,0,0,0,0.00
Elizabethtown,Brennan Bower,11,6,6,0,0.00,1,1,-1.000,0,0.00,0,0.00,2,0.33,0,8,0,0,0,0.00
Elizabethtown,Dustin Hagin,13,76,21,1,0.01,2,20,-.050,43,0.57,0,0.00,241,3.17,11,460,0,0,0,0.00
Elizabethtown,Craig Patrick,16,62,21,62,1.00,25,155,.239,4,0.06,5,0.08,13,0.21,1,2,10,25,35.0,0.56
Elizabethtown,Arun Gopinath,18,67,21,179,2.67,85,460,.204,10,0.15,19,0.28,73,1.09,16,300,6,8,14.0,0.21
Elizabethtown,Declan Keller,21,51,18,76,1.49,41,209,.167,8,0.16,18,0.35,50,0.98,1,6,5,11,16.0,0.31
Elizabethtown,Logan Smith,23,64,21,194,3.03,78,437,.265,2,0.03,7,0.11,81,1.27,10,199,7,14,21.0,0.33
Elizabethtown,Josh McCoy,24,74,22,78,1.05,19,181,.326,1,0.01,0,0.00,15,0.20,0,4,7,49,56.0,0.76
Eastern Mennonite,Ricardo Fernandez Perez,1,80,24,21,0.26,7,62,.226,618,7.73,10,0.13,141,1.76,0,7,3,15,18.0,0.23
Eastern Mennonite,Rey De La Cruz,2,89,25,0,0.00,2,6,-.333,63,0.71,0,0.00,237,2.66,31,530,0,0,0,0.00
Eastern Mennonite,Jamaury Starks,4,65,23,0,0.00,0,1,.000,5,0.08,1,0.02,54,0.83,5,135,0,0,0,0.00
Eastern Mennonite,James Powell,5,49,22,59,1.20,24,151,.232,3,0.06,11,0.22,13,0.27,0,2,3,12,15.0,0.31
Eastern Mennonite,Ezekiel Awkward,6,80,23,178,2.23,80,450,.218,6,0.08,21,0.26,117,1.46,19,332,3,23,26.0,0.33
Eastern Mennonite,Delan Wright,7,4,4,3,0.75,7,14,-.286,0,0.00,1,0.25,0,0.00,0,9,0,0,0,0.00
Eastern Mennonite,Andre Mills,8,87,25,320,3.68,134,888,.209,12,0.14,30,0.34,141,1.62,3,6,8,58,66.0,0.76
Eastern Mennonite,Diego Morales Torres,9,44,18,2,0.05,3,11,-.091,174,3.95,6,0.14,39,0.89,0,1,0,9,9.0,0.20
Eastern Mennonite,Samuel Gomez,11,30,16,0,0.00,0,0,0,0,0.00,4,0.13,6,0.20,0,1,0,0,0,0.00
Eastern Mennonite,Sebastian Clemente,12,90,25,50,0.56,36,156,.090,12,0.13,13,0.14,138,1.53,25,482,3,7,10.0,0.11
Eastern Mennonite,Joel Chamberlain,13,18,12,4,0.22,7,24,-.125,0,0.00,0,0.00,4,0.22,0,0,2,3,5.0,0.28
Eastern Mennonite,Derek Diaz,14,55,21,50,0.91,28,154,.143,1,0.02,4,0.07,11,0.20,7,70,3,13,16.0,0.29
Eastern Mennonite,Bennett de Tenley,15,45,21,20,0.44,19,80,.013,3,0.07,1,0.02,10,0.22,0,23,0,1,1.0,0.02
Eastern Mennonite,Daeman Odom,17,80,25,125,1.56,34,315,.289,3,0.04,8,0.10,18,0.23,0,2,22,69,91.0,1.14
Eastern Mennonite,Pierce Donnelly,19,11,3,22,2.00,13,65,.138,1,0.09,1,0.09,2,0.18,4,23,2,3,5.0,0.45
Eastern Mennonite,Jose Melendez,20,79,24,123,1.56,43,281,.285,8,0.10,22,0.28,32,0.41,0,2,14,30,44.0,0.56
Immaculata,Brandon Lieberman,1,50,14,1,0.02,5,12,-.333,9,0.18,7,0.14,45,0.90,0,27,0,1,1.0,0.02
Immaculata,Michael Prall,2,44,14,12,0.27,18,60,-.100,1,0.02,2,0.05,32,0.73,0,0,0,1,1.0,0.02
Immaculata,Ethan Ngo,3,28,11,4,0.14,7,28,-.107,1,0.04,5,0.18,10,0.36,2,27,0,0,0,0.00
Immaculata,Lucas McNeil,5,13,8,0,0.00,0,0,0,0,0.00,2,0.15,0,0.00,0,0,0,0,0,0.00
Immaculata,Jordan Brown,6,52,14,36,0.69,22,117,.120,2,0.04,1,0.02,18,0.35,2,6,12,8,20.0,0.38
Immaculata,Christian Lee,7,55,14,36,0.65,27,125,.072,3,0.05,3,0.05,28,0.51,1,2,10,11,21.0,0.38
Immaculata,Evan Timlin,8,3,2,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Immaculata,Josh McGurl,9,51,13,185,3.63,87,438,.224,10,0.20,36,0.71,103,2.02,14,278,4,7,11.0,0.22
Immaculata,Matthew Pfister,10,51,13,3,0.06,7,35,-.114,19,0.37,0,0.00,138,2.71,19,293,0,0,0,0.00
Immaculata,Noah Zunski,11,56,14,163,2.91,74,420,.212,6,0.11,22,0.39,92,1.64,18,325,3,4,7.0,0.13
Immaculata,Nate Bailey,12,55,14,70,1.27,52,252,.071,4,0.07,1,0.02,43,0.78,0,3,2,8,10.0,0.18
Immaculata,Joe Martell,13,56,14,26,0.46,6,109,.183,436,7.79,23,0.41,112,2.00,0,7,8,6,14.0,0.25
MIT,Azfal Peermohammed,3,29,12,2,0.07,1,5,.200,12,0.41,1,0.03,66,2.28,11,172,0,0,0,0.00
MIT,Warren Nam,5,53,18,2,0.04,3,9,-.111,91,1.72,0,0.00,68,1.28,5,150,0,0,0,0.00
MIT,Riley Oh,7,45,13,23,0.51,5,41,.439,397,8.82,12,0.27,70,1.56,0,3,4,22,26.0,0.58
MIT,Ryan Espinoza,8,68,20,90,1.32,63,270,.100,7,0.10,22,0.32,74,1.09,1,15,4,22,26.0,0.38
MIT,Grant Oh,9,80,23,336,4.20,87,725,.343,20,0.25,27,0.34,116,1.45,22,423,5,32,37.0,0.46
MIT,Jensen Fiskin,10,60,23,46,0.77,29,120,.142,310,5.17,10,0.17,70,1.17,1,2,4,22,26.0,0.43
MIT,Kristof Spellen,11,46,17,83,1.80,45,231,.165,4,0.09,14,0.30,31,0.67,3,148,5,10,15.0,0.33
MIT,Aleks Markovski,12,6,5,3,0.50,2,7,.143,0,0.00,0,0.00,2,0.33,0,0,0,1,1.0,0.17
MIT,Braeden Baker,15,15,5,44,2.93,24,106,.189,2,0.13,8,0.53,10,0.67,8,67,1,2,3.0,0.20
MIT,Kevin Windisch,16,84,24,59,0.70,40,182,.104,38,0.45,8,0.10,151,1.80,16,457,0,8,8.0,0.10
MIT,Canis Li,18,5,4,2,0.40,2,9,.000,0,0.00,0,0.00,0,0.00,0,1,0,0,0,0.00
MIT,Ben Volokh,19,19,6,11,0.58,10,31,.032,0,0.00,6,0.32,4,0.21,0,0,1,1,2.0,0.11
MIT,Hansen Fan,21,61,22,46,0.75,22,120,.200,2,0.03,14,0.23,24,0.39,0,2,6,20,26.0,0.43
MIT,Michael Rini,22,72,22,95,1.32,46,227,.216,1,0.01,3,0.04,8,0.11,0,1,6,49,55.0,0.76
MIT,Maddox Brandenburg,23,70,20,109,1.56,22,206,.422,1,0.01,8,0.11,23,0.33,0,6,7,51,58.0,0.83
MIT,Aden Adjei,25,9,6,4,0.44,3,10,.100,0,0.00,0,0.00,1,0.11,0,0,2,0,2.0,0.22
Nazareth,Gavin Sweet,1,32,11,1,0.03,0,3,.333,2,0.06,0,0.00,26,0.81,0,10,0,0,0,0.00
Nazareth,Bodey Groff,2,95,25,0,0.00,1,4,-.250,30,0.32,0,0.00,164,1.73,25,408,0,0,0,0.00
Nazareth,Brendan O'Brien,3,38,14,0,0.00,1,1,-1.000,1,0.03,4,0.11,7,0.18,0,7,0,0,0,0.00
Nazareth,Owen Wickens,4,98,26,310,3.16,148,752,.215,150,1.53,65,0.66,212,2.16,6,358,5,25,30.0,0.31
Nazareth,AJ Burda,5,86,24,78,0.91,26,184,.283,606,7.05,15,0.17,124,1.44,2,22,1,19,20.0,0.23
Nazareth,Alex Bertino,6,91,24,179,1.97,89,464,.194,18,0.20,22,0.24,104,1.14,13,523,1,10,11.0,0.12
Nazareth,Joe Seliger,7,59,22,13,0.22,6,30,.233,2,0.03,7,0.12,36,0.61,9,141,0,0,0,0.00
Nazareth,Anthony Caimano,8,23,11,19,0.83,12,53,.132,1,0.04,6,0.26,3,0.13,0,0,0,5,5.0,0.22
Nazareth,Max Stuver,9,97,26,80,0.82,40,218,.183,268,2.76,16,0.16,136,1.40,3,80,4,35,39.0,0.40
Nazareth,Quinn Ringstad,10,48,19,49,1.02,26,131,.176,4,0.08,3,0.06,15,0.31,2,9,1,17,18.0,0.38
Nazareth,Ryan Murphy,11,71,21,99,1.39,26,217,.336,3,0.04,13,0.18,24,0.34,0,0,5,39,44.0,0.62
Nazareth,Josh Weaver,12,59,17,140,2.37,74,329,.201,4,0.07,9,0.15,59,1.00,4,87,0,11,11.0,0.19
Nazareth,Andrew Bodensteiner,14,68,20,108,1.59,30,235,.332,3,0.04,18,0.26,16,0.24,0,5,8,35,43.0,0.63
Nazareth,Jake O'Sullivan,16,22,10,25,1.14,9,57,.281,0,0.00,1,0.05,3,0.14,0,1,3,13,16.0,0.73
Nazareth,Tristan Henderson,17,52,19,48,0.92,24,108,.222,3,0.06,0,0.00,10,0.19,1,20,1,6,7.0,0.13
Nazareth,Joshua Warner,18,12,7,22,1.83,5,31,.548,0,0.00,0,0.00,1,0.08,1,2,2,3,5.0,0.42
NYU,Dylan Hsu,3,37,15,0,0.00,0,0,0,0,0.00,0,0.00,6,0.16,2,12,0,0,0,0.00
NYU,Zach Knudsen,4,67,20,3,0.04,1,11,.182,34,0.51,0,0.00,146,2.18,11,355,0,0,0,0.00
NYU,Devyn Nguyen,5,69,21,36,0.52,9,85,.318,715,10.36,10,0.14,118,1.71,1,6,10,20,30.0,0.43
NYU,Bennet Tchaikovsky,7,51,18,0,0.00,1,4,-.250,11,0.22,10,0.20,30,0.59,1,38,0,0,0,0.00
NYU,Bennnet Tchaikovsky,7,9,3,0,0.00,0,0,0,0,0.00,0,0.00,6,0.67,0,10,0,0,0,0.00
NYU,Lucas Osiecki,8,67,21,218,3.25,79,412,.337,19,0.28,37,0.55,98,1.46,9,381,4,10,14.0,0.21
NYU,Luke Boyer,9,68,22,167,2.46,60,397,.270,16,0.24,33,0.49,87,1.28,15,292,10,28,38.0,0.56
NYU,Jake Upham,12,12,9,9,0.75,8,31,.032,0,0.00,1,0.08,5,0.42,0,27,0,1,1.0,0.08
NYU,Buddy Cohen,13,70,21,122,1.74,16,217,.488,7,0.10,3,0.04,38,0.54,0,8,18,47,65.0,0.93
NYU,Jerry Feng,14,8,6,14,1.75,1,25,.520,1,0.13,0,0.00,6,0.75,2,29,1,2,3.0,0.38
NYU,Ry Kagan,15,70,22,146,2.09,21,260,.481,5,0.07,11,0.16,26,0.37,1,7,18,53,71.0,1.01
NYU,Krish Vasan,17,12,9,0,0.00,0,3,.000,77,6.42,3,0.25,15,1.25,0,0,1,3,4.0,0.33
NYU,Emerson Evans,20,73,22,232,3.18,70,530,.306,14,0.19,21,0.29,109,1.49,0,1,5,42,47.0,0.64
NYU,Ethan Du,21,12,6,6,0.50,1,13,.385,0,0.00,0,0.00,3,0.25,0,1,1,5,6.0,0.50
NYU,Matthew Warter,23,17,10,17,1.00,6,31,.355,2,0.12,7,0.41,6,0.35,3,18,0,4,4.0,0.24
NYU,Gabriel Bialek,24,6,6,1,0.17,1,4,.000,0,0.00,0,0.00,1,0.17,0,0,0,1,1.0,0.17
St. John Fisher,Connor Holmes,1,28,13,57,2.04,16,105,.390,0,0.00,0,0.00,3,0.11,0,3,2,6,8.0,0.29
St. John Fisher,Jimmy Roberts,2,9,7,21,2.33,2,38,.500,0,0.00,3,0.33,9,1.00,2,35,0,2,2.0,0.22
St. John Fisher,Griffin Stella,3,77,22,194,2.52,16,339,.525,14,0.18,7,0.09,43,0.56,1,11,22,36,58.0,0.75
St. John Fisher,Tyler Cohen,4,50,25,27,0.54,16,72,.153,14,0.28,4,0.08,48,0.96,0,1,0,5,5.0,0.10
St. John Fisher,Casey Jackson,5,72,23,121,1.68,46,318,.236,13,0.18,17,0.24,83,1.15,15,313,1,16,17.0,0.24
St. John Fisher,Gabe La Robardiere,6,56,24,86,1.54,39,201,.234,4,0.07,5,0.09,33,0.59,1,22,4,18,22.0,0.39
St. John Fisher,Sonepith Keoviengsamay,7,44,16,109,2.48,42,224,.299,8,0.18,12,0.27,49,1.11,13,230,1,17,18.0,0.41
St. John Fisher,Sonepith Keoviengsamay,7,6,3,11,1.83,5,31,.194,0,0.00,2,0.33,5,0.83,2,33,0,3,3.0,0.50
St. John Fisher,Gavin Newman,8,78,24,36,0.46,14,94,.234,713,9.14,42,0.54,120,1.54,0,4,17,29,46.0,0.59
St. John Fisher,Jake Baker,9,25,9,70,2.80,30,181,.221,7,0.28,2,0.08,41,1.64,4,127,2,4,6.0,0.24
St. John Fisher,Aiden Calhoun,10,61,26,10,0.16,7,24,.125,36,0.59,13,0.21,16,0.26,0,2,1,2,3.0,0.05
St. John Fisher,Jack DeMaria,11,17,8,0,0.00,0,0,0,2,0.12,1,0.06,4,0.24,2,17,0,1,1.0,0.06
St. John Fisher,Trace La Robardiere,12,92,28,1,0.01,0,5,.200,46,0.50,0,0.00,236,2.57,24,528,0,0,0,0.00
St. John Fisher,Connor Carwile,13,29,15,0,0.00,1,1,-1.000,7,0.24,0,0.00,20,0.69,7,38,0,0,0,0.00
St. John Fisher,Nick Tarataglia,14,10,7,10,1.00,5,21,.238,1,0.10,0,0.00,9,0.90,1,13,0,3,3.0,0.30
St. John Fisher,Coleton Welter,15,66,24,116,1.76,69,334,.141,8,0.12,10,0.15,54,0.82,14,335,7,19,26.0,0.39
St. John Fisher,Sam Shutt,16,8,6,12,1.50,1,17,.647,3,0.38,1,0.13,3,0.38,0,0,0,6,6.0,0.75
St. John Fisher,Ian Rauh,17,83,25,214,2.58,51,369,.442,5,0.06,19,0.23,16,0.19,0,1,15,66,81.0,0.98
St. John Fisher,Alex Quinn,18,6,6,5,0.83,3,11,.182,0,0.00,0,0.00,0,0.00,0,0,1,3,4.0,0.67
St. John Fisher,Evan Ingerick,19,41,19,10,0.24,2,29,.276,267,6.51,5,0.12,59,1.44,0,3,4,13,17.0,0.41
St. John Fisher,Guillermo Perez,20,18,9,28,1.56,10,53,.340,5,0.28,5,0.28,11,0.61,0,7,5,7,12.0,0.67
St. John Fisher,Evan Hernandez,21,62,24,122,1.97,56,313,.211,18,0.29,14,0.23,95,1.53,0,2,3,9,12.0,0.19
SUNY New Paltz,Luke Hofer,1,82,22,1,0.01,0,8,.125,19,0.23,0,0.00,94,1.15,14,472,0,0,0,0.00
SUNY New Paltz,Max DeBonis,2,63,19,1,0.02,1,8,.000,10,0.16,0,0.00,83,1.32,4,73,0,1,1.0,0.02
SUNY New Paltz,Carter Lotz,3,12,9,8,0.67,5,19,.158,2,0.17,3,0.25,7,0.58,0,33,1,5,6.0,0.50
SUNY New Paltz,Daniel Shanley,4,66,21,41,0.62,27,133,.105,372,5.64,18,0.27,85,1.29,1,83,3,16,19.0,0.29
SUNY New Paltz,Matt Teplansky,5,66,21,106,1.61,45,287,.213,3,0.05,8,0.12,55,0.83,1,11,4,14,18.0,0.27
SUNY New Paltz,Peter Brutschin,6,52,20,36,0.69,14,80,.275,0,0.00,5,0.10,22,0.42,0,6,8,31,39.0,0.75
SUNY New Paltz,Michael Spiegel,7,15,6,28,1.87,14,69,.203,0,0.00,7,0.47,16,1.07,0,1,0,2,2.0,0.13
SUNY New Paltz,Michael Spiegel,7,46,15,113,2.46,63,279,.179,0,0.00,12,0.26,55,1.20,0,0,1,22,23.0,0.50
SUNY New Paltz,Geoff Ndoria,8,75,22,174,2.32,71,382,.270,14,0.19,13,0.17,77,1.03,14,377,2,20,22.0,0.29
SUNY New Paltz,Artair Kayser,9,11,8,7,0.64,3,11,.364,0,0.00,2,0.18,1,0.09,0,2,1,3,4.0,0.36
SUNY New Paltz,Nikko Tenedorio,10,82,22,263,3.21,114,575,.259,23,0.28,28,0.34,135,1.65,15,375,8,28,36.0,0.44
SUNY New Paltz,Krish Jain,11,79,21,137,1.73,40,273,.355,4,0.05,12,0.15,41,0.52,1,25,12,65,77.0,0.97
SUNY New Paltz,Christopher Larkin,12,17,12,17,1.00,6,39,.282,1,0.06,0,0.00,6,0.35,5,49,1,2,3.0,0.18
SUNY New Paltz,Mike Handell,13,50,17,48,0.96,9,102,.382,2,0.04,6,0.12,11,0.22,0,4,3,26,29.0,0.58
SUNY New Paltz,Tristan Rezza,15,10,7,12,1.20,2,19,.526,0,0.00,2,0.20,3,0.30,0,0,0,3,3.0,0.30
SUNY New Paltz,Matt Marusza,17,63,21,12,0.19,7,53,.094,489,7.76,15,0.24,100,1.59,0,4,2,19,21.0,0.33
SUNY New Paltz,Matt Kudlinski,19,38,18,19,0.50,7,37,.324,0,0.00,11,0.29,10,0.26,3,22,0,1,1.0,0.03
SUNY New Paltz,Matt Kudlinski,19,4,1,0,0.00,0,0,0,0,0.00,2,0.50,0,0.00,0,0,0,0,0,0.00
Vassar,Nick Villamil,1,42,14,0,0.00,1,1,-1.000,201,4.79,4,0.10,44,1.05,1,3,0,0,0,0.00
Vassar,Tucker Shearn,3,57,19,5,0.09,1,13,.308,9,0.16,0,0.00,139,2.44,10,297,0,0,0,0.00
Vassar,Parker Schoenl,4,43,15,1,0.02,1,6,.000,206,4.79,7,0.16,57,1.33,0,3,0,0,0,0.00
Vassar,Enzo Bertini,5,12,5,26,2.17,7,47,.404,0,0.00,0,0.00,1,0.08,0,0,0,7,7.0,0.58
Vassar,Tristan Christofferson,7,4,3,8,2.00,2,14,.429,0,0.00,3,0.75,3,0.75,0,0,0,2,2.0,0.50
Vassar,Casey McMenamin,8,28,10,0,0.00,0,1,.000,5,0.18,0,0.00,28,1.00,3,53,0,0,0,0.00
Vassar,Henry Bonney,9,36,15,34,0.94,12,100,.220,1,0.03,0,0.00,4,0.11,0,0,4,19,23.0,0.64
Vassar,Shawn Zheng,10,56,17,131,2.34,35,291,.330,0,0.00,3,0.05,23,0.41,0,1,4,29,33.0,0.59
Vassar,Walter Birnbaum,11,37,14,120,3.24,42,271,.288,11,0.30,5,0.14,56,1.51,9,168,4,18,22.0,0.59
Vassar,Tobias Clark,12,44,16,76,1.73,21,184,.299,27,0.61,11,0.25,47,1.07,18,220,3,17,20.0,0.45
Vassar,Armaan Desai,13,50,16,91,1.82,30,182,.335,5,0.10,13,0.26,20,0.40,1,4,12,37,49.0,0.98
Vassar,Cannon Tucker,14,9,7,10,1.11,6,24,.167,0,0.00,0,0.00,4,0.44,0,0,0,5,5.0,0.56
Vassar,Petar Miocinovic,15,12,8,9,0.75,4,23,.217,4,0.33,1,0.08,11,0.92,1,24,0,1,1.0,0.08
Vassar,Billy Fan,16,57,20,121,2.12,41,309,.259,31,0.54,32,0.56,98,1.72,9,214,7,24,31.0,0.54
Vassar,Gavin Akoto,17,56,18,94,1.68,23,183,.388,8,0.14,5,0.09,21,0.38,1,4,10,37,47.0,0.84
Vassar,James Zuckerman,18,26,16,31,1.19,8,53,.434,1,0.04,8,0.31,11,0.42,0,0,0,14,14.0,0.54
Vassar,Doug Chandler,19,7,4,5,0.71,1,8,.500,0,0.00,2,0.29,0,0.00,0,0,3,2,5.0,0.71
Vassar,Stuart Dow,20,7,6,9,1.29,3,16,.375,1,0.14,3,0.43,0,0.00,0,0,0,3,3.0,0.43
Vassar,Payne Lounsbery,21,55,20,33,0.60,10,63,.365,240,4.36,33,0.60,79,1.44,0,26,1,5,6.0,0.11
Vassar,Eli Lee,24,7,4,15,2.14,5,26,.385,0,0.00,2,0.29,5,0.71,0,7,0,0,0,0.00
Elmira,Max Cohen,1,67,22,28,0.42,17,86,.128,612,9.13,11,0.16,122,1.82,1,14,1,7,8.0,0.12
Elmira,Jake Suffa,2,40,15,41,1.03,21,109,.183,3,0.08,5,0.13,49,1.23,14,160,2,3,5.0,0.13
Elmira,Cache Littrell,3,17,9,1,0.06,6,18,-.278,2,0.12,5,0.29,12,0.71,0,1,0,1,1.0,0.06
Elmira,Rei Yuasa,5,35,12,0,0.00,0,1,.000,7,0.20,0,0.00,37,1.06,5,30,0,0,0,0.00
Elmira,Ethan Davenport,7,21,10,30,1.43,24,81,.074,0,0.00,3,0.14,27,1.29,4,66,1,3,4.0,0.19
Elmira,Caden Sims,8,18,10,12,0.67,8,35,.114,3,0.17,13,0.72,4,0.22,0,1,1,6,7.0,0.39
Elmira,Nick Rohman,9,19,11,6,0.32,4,20,.100,135,7.11,9,0.47,18,0.95,0,0,0,1,1.0,0.05
Elmira,Gabriel Staron,10,23,7,38,1.65,39,122,-.008,3,0.13,8,0.35,28,1.22,3,115,2,3,5.0,0.22
Elmira,Paten Buckwalter,11,70,22,142,2.03,38,290,.359,20,0.29,12,0.17,49,0.70,0,4,10,23,33.0,0.47
Elmira,Connor Barton,12,67,21,1,0.01,1,7,.000,33,0.49,0,0.00,95,1.42,24,337,0,0,0,0.00
Elmira,Jayden Long,13,26,11,11,0.42,3,24,.333,4,0.15,4,0.15,17,0.65,5,77,2,2,4.0,0.15
Elmira,Dylan Vargas,14,64,22,106,1.66,37,224,.308,8,0.13,9,0.14,24,0.38,0,8,6,18,24.0,0.38
Elmira,Luke Jata,16,72,22,197,2.74,88,441,.247,14,0.19,45,0.63,118,1.64,24,414,12,9,21.0,0.29
Elmira,Drake Connors,19,14,7,26,1.86,21,63,.079,2,0.14,3,0.21,7,0.50,0,0,0,2,2.0,0.14
Elmira,Jordan Peiser,20,67,22,265,3.96,91,598,.291,13,0.19,42,0.63,107,1.60,1,44,2,16,18.0,0.27
Arcadia,Reece Dodd,1,80,23,117,1.46,52,249,.261,3,0.04,2,0.03,11,0.14,1,6,7,48,55.0,0.69
Arcadia,Danny Gonzalez,3,79,23,220,2.78,132,575,.153,26,0.33,21,0.27,126,1.59,19,459,4,10,14.0,0.18
Arcadia,Trevor Johnson,5,22,12,17,0.77,14,46,.065,0,0.00,4,0.18,5,0.23,2,14,0,2,2.0,0.09
Arcadia,Cameron Birch,6,85,25,30,0.35,20,98,.102,18,0.21,5,0.06,182,2.14,11,429,3,8,11.0,0.13
Arcadia,Mike Carr,7,59,18,101,1.71,56,238,.189,6,0.10,11,0.19,37,0.63,5,117,6,29,35.0,0.59
