Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions Errors,Receptions,Block Solo,Block Assist,Total Blocks,Blocks/Set
Chatham,Tim McCabe,9,44,11,85,1.93,46,245,.159,5,0.11,10,0.23,55,1.25,2,5,7,17,24.0,0.55
Chatham,John Gasiorowski,10,44,11,2,0.05,2,12,.000,7,0.16,3,0.07,65,1.48,3,118,0,0,0,0.00
Chatham,Logan Pack,11,47,12,160,3.40,68,389,.237,5,0.11,10,0.21,72,1.53,10,244,7,14,21.0,0.45
Chatham,Andrew Shepard,14,16,5,30,1.88,16,82,.171,0,0.00,1,0.06,11,0.69,1,33,1,1,2.0,0.13
Chatham,Kendal Herbert,15,1,1,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Chatham,RJ Nagg,16,46,12,14,0.30,5,48,.188,437,9.50,18,0.39,86,1.87,0,5,2,14,16.0,0.35
Chatham,Jordan Haas,17,47,12,37,0.79,22,114,.132,6,0.13,6,0.13,37,0.79,0,6,3,22,25.0,0.53
Neumann,Brandon Baskerville,1,56,20,3,0.05,0,15,.200,4,0.07,4,0.07,73,1.30,20,256,0,0,0,0.00
Neumann,Christian DeMarco,2,62,18,1,0.02,8,33,-.212,10,0.16,0,0.00,233,3.76,18,402,0,0,0,0.00
Neumann,Trey Edmonds,3,75,20,257,3.43,109,660,.224,8,0.11,25,0.33,150,2.00,26,334,8,11,19.0,0.25
Neumann,Noah Banaag,5,64,19,8,0.13,8,52,.000,448,7.00,2,0.03,57,0.89,2,4,2,9,11.0,0.17
Neumann,Victor John,7,72,19,104,1.44,53,308,.166,7,0.10,17,0.24,47,0.65,1,5,7,26,33.0,0.46
Neumann,Mitch Holland,8,1,1,1,1.00,0,2,.500,0,0.00,1,1.00,0,0.00,0,2,0,0,0,0.00
Neumann,Isaiah Raye-Ryan,9,46,15,30,0.65,29,104,.010,2,0.04,8,0.17,19,0.41,0,0,7,22,29.0,0.63
Neumann,JP Perdomo,11,48,16,68,1.42,41,211,.128,6,0.13,7,0.15,80,1.67,12,155,1,7,8.0,0.17
Neumann,Justin Edwards,12,15,8,1,0.07,3,4,-.500,37,2.47,0,0.00,8,0.53,0,3,0,0,0,0.00
Neumann,Adrio Smit,14,13,7,8,0.62,9,31,-.032,0,0.00,0,0.00,1,0.08,0,0,0,0,0,0.00
Neumann,Dio Emerson,15,15,7,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Neumann,Christian Johnson,17,68,19,1,0.01,6,32,-.156,116,1.71,10,0.15,44,0.65,0,3,0,4,4.0,0.06
Neumann,Javi Santos,23,2,2,0,0.00,0,2,.000,0,0.00,0,0.00,1,0.50,0,3,0,0,0,0.00
Neumann,Isaiah Thomas,24,40,15,57,1.43,51,208,.029,4,0.10,14,0.35,40,1.00,10,133,1,2,3.0,0.08
Neumann,Veryl Burns,31,67,20,122,1.82,50,308,.234,6,0.09,6,0.09,44,0.66,0,11,24,20,44.0,0.66
Neumann,Mason Fleisher,33,62,18,61,0.98,45,199,.080,5,0.08,4,0.06,53,0.85,1,3,1,17,18.0,0.29
