Name,Jersey Number,Sets Played,Matches Played,Matches Started,Points,Points/Set,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Services Aces/Set,Service Errors,Digs,Digs/Set,Reception Error,Total Reception Attempts,Reception Percentage,Reception Errors/Set,Solo Blocks,Block Assist,Block Points,Blocks/Set,Block Errors,BHE
Cox Ethan,3,79,25,24,169.0,2.14,114,1.44,36,257,.304,7,0.09,27,0.34,56,40,0.51,0,2,1.000,0.00,5,46,51.0,0.65,19,1
Balboni Anthony,4,2,2,0,1.5,0.75,1,0.50,1,3,.000,0,0.00,0,0.00,0,1,0.50,0,0,.000,0.00,0,1,1.0,0.50,0,0
Stubbs Kevin,5,41,16,1,4.0,0.10,3,0.07,3,16,.000,5,0.12,1,0.02,1,32,0.78,2,33,.939,0.05,0,0,0,0.00,0,0
Beer Dylan,6,86,25,23,243.5,2.83,174,2.02,58,369,.314,11,0.13,18,0.21,31,45,0.52,5,62,.919,0.06,19,65,84.0,0.98,26,1
Christ Matthew,7,82,24,24,253.5,3.09,202,2.46,100,456,.224,16,0.20,29,0.35,75,122,1.49,1,2,.500,0.01,6,33,39.0,0.48,12,1
Nagle Cole,9,79,23,0,4.0,0.05,4,0.05,2,16,.125,42,0.53,0,0.00,1,157,1.99,17,464,.963,0.22,0,0,0,0.00,0,3
Connelly Brian,10,27,13,0,2.0,0.07,0,0.00,0,1,.000,4,0.15,2,0.07,2,22,0.81,5,47,.894,0.19,0,0,0,0.00,0,0
Poulson Nick,11,51,21,7,92.0,1.80,76,1.49,42,208,.163,3,0.06,9,0.18,25,32,0.63,11,142,.923,0.22,3,8,11.0,0.22,5,0
Heist Benajmin,12,66,21,20,78.0,1.18,54,0.82,42,159,.075,261,3.95,11,0.17,48,89,1.35,6,170,.965,0.09,3,20,23.0,0.35,3,6
Matchett Josh,14,86,25,24,204.0,2.37,157,1.83,61,392,.245,474,5.51,26,0.30,73,131,1.52,19,148,.872,0.22,8,26,34.0,0.40,22,3
Stevens Kian,15,24,13,3,32.0,1.33,13,0.54,8,32,.156,1,0.04,9,0.38,16,6,0.25,1,1,.000,0.04,6,8,14.0,0.58,6,0
Martino Michael,20,82,24,24,162.5,1.98,133,1.62,90,421,.102,10,0.12,15,0.18,23,106,1.29,35,420,.917,0.43,4,21,25.0,0.30,9,1
Mages Lucas,1,83,27,26,208.0,2.51,161,1.94,73,442,.199,10,0.12,22,0.27,34,109,1.31,5,71,.930,0.06,6,38,44.0,0.53,4,1
Binner Paul,2,91,28,27,302.0,3.32,203,2.23,62,388,.363,25,0.27,43,0.47,67,67,0.74,0,10,1.000,0.00,25,62,87.0,0.96,6,1
Shay Zach,3,87,26,25,82.5,0.95,44,0.51,13,147,.211,785,9.02,19,0.22,34,149,1.71,0,6,1.000,0.00,3,33,36.0,0.41,2,5
Shipman Casey,6,17,8,4,21.5,1.26,13,0.76,6,46,.152,70,4.12,7,0.41,11,34,2.00,1,8,.875,0.06,0,3,3.0,0.18,2,4
Molnar Matthew,7,27,11,4,25.5,0.94,17,0.63,11,49,.122,2,0.07,6,0.22,8,16,0.59,1,11,.909,0.04,1,3,4.0,0.15,1,1
Mages Jacob,9,83,26,25,127.5,1.54,83,1.00,30,190,.279,6,0.07,19,0.23,34,40,0.48,1,13,.923,0.01,1,49,50.0,0.60,4,2
Taylor Noah,12,85,26,26,197.0,2.32,171,2.01,111,494,.121,12,0.14,16,0.19,60,145,1.71,19,431,.956,0.22,2,16,18.0,0.21,6,2
Winter Sam,13,75,23,0,4.0,0.05,4,0.05,1,10,.300,17,0.23,0,0.00,0,106,1.41,17,291,.942,0.23,0,0,0,0.00,0,0
Shafer Jackson,14,84,26,25,342.0,4.07,287,3.42,104,627,.292,7,0.08,36,0.43,57,125,1.49,19,404,.953,0.23,8,22,30.0,0.36,6,0
Sandoval Adan,15,19,11,1,1.0,0.05,0,0.00,0,0,0,3,0.16,1,0.05,10,14,0.74,4,40,.900,0.21,0,0,0,0.00,0,0
Sheldon Jake,16,9,6,0,1.0,0.11,0,0.00,0,1,.000,1,0.11,1,0.11,5,9,1.00,0,19,1.000,0.00,0,0,0,0.00,0,1
Haller Jacob,17,33,18,4,47.5,1.44,34,1.03,33,112,.009,1,0.03,13,0.39,22,31,0.94,2,31,.935,0.06,0,1,1.0,0.03,1,0
Derk Alex,19,60,20,0,0,0.00,0,0.00,1,11,-.091,20,0.33,0,0.00,0,75,1.25,13,229,.943,0.22,0,0,0,0.00,0,0
Evanosky Logan,20,17,10,1,33.5,1.97,31,1.82,26,88,.057,0,0.00,1,0.06,6,7,0.41,0,2,1.000,0.00,0,3,3.0,0.18,0,1
