Name,Jersey Number,Sets Played,Matches Played,Matches Started,Points,Points/Set,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Services Aces/Set,Service Errors,Digs,Digs/Set,Reception Error,Total Reception Attempts,Reception Percentage,Reception Errors/Set,Solo Blocks,Block Assist,Block Points,Blocks/Set,Block Errors,BHE
Blanchfield Dan,6,69,21,21,44.0,0.64,21,0.30,19,100,.020,3,0.04,9,0.13,29,64,0.93,35,213,.836,0.51,5,18,23.0,0.33,1,1
Fitch Will,7,73,22,20,35.0,0.48,20,0.27,29,103,-.087,5,0.07,10,0.14,31,69,0.95,46,181,.746,0.63,0,10,10.0,0.14,5,4
Cleveland Caulten,9,14,6,2,1.0,0.07,1,0.07,4,12,-.250,0,0.00,0,0.00,1,0,0.00,0,0,.000,0.00,0,0,0,0.00,0,0
Robin Mari,11,30,10,4,8.0,0.27,2,0.07,3,8,-.125,2,0.07,5,0.17,12,18,0.60,4,7,.429,0.13,0,2,2.0,0.07,0,0
Javier Rojas Will,17,62,19,19,204.5,3.30,188,3.03,98,559,.161,22,0.35,6,0.10,39,91,1.47,51,379,.865,0.82,7,7,14.0,0.23,3,3
Fitzkee Marc,19,73,22,22,254.0,3.48,221,3.03,192,622,.047,15,0.21,24,0.33,66,130,1.78,55,525,.895,0.75,7,4,11.0,0.15,3,1
Odor Russell,20,29,9,9,29.0,1.00,22,0.76,19,73,.041,1,0.03,3,0.10,15,28,0.97,9,44,.795,0.31,1,6,7.0,0.24,1,0
Abraham Alvin,1,18,10,1,6.0,0.33,1,0.06,0,1,1.000,0,0.00,5,0.28,7,6,0.33,1,5,.800,0.06,0,0,0,0.00,0,0
Hernandez David,2,19,10,0,5.0,0.26,0,0.00,0,0,0,0,0.00,5,0.26,4,3,0.16,0,4,1.000,0.00,0,0,0,0.00,0,0
Scholl Peter,3,70,25,2,52.0,0.74,36,0.51,14,107,.206,5,0.07,0,0.00,0,21,0.30,7,46,.848,0.10,0,32,32.0,0.46,0,0
Bafuma Andrew,4,24,12,0,10.0,0.42,8,0.33,5,23,.130,0,0.00,1,0.04,1,3,0.13,0,6,1.000,0.00,0,2,2.0,0.08,0,0
Atiyeh Aziz,5,88,27,0,6.5,0.07,6,0.07,4,32,.063,38,0.43,0,0.00,1,162,1.84,23,359,.936,0.26,0,1,1.0,0.01,0,0
Beck George,6,88,27,2,25.0,0.28,2,0.02,1,13,.077,303,3.44,22,0.25,12,69,0.78,0,2,1.000,0.00,0,2,2.0,0.02,0,3
Herman Joe,8,88,27,26,294.5,3.35,232,2.64,61,595,.287,15,0.17,49,0.56,28,160,1.82,31,384,.919,0.35,3,21,24.0,0.27,0,3
Bizzoco Mike,10,37,15,0,6.0,0.16,4,0.11,3,11,.091,0,0.00,2,0.05,0,28,0.76,4,32,.875,0.11,0,0,0,0.00,0,0
Piontkowski Jared,12,89,27,25,351.0,3.94,286,3.21,102,593,.310,3,0.03,38,0.43,69,170,1.91,17,211,.919,0.19,11,32,43.0,0.48,0,2
Larson Declan,13,31,14,0,0,0.00,0,0.00,0,0,0,6,0.19,0,0.00,0,24,0.77,2,42,.952,0.06,0,0,0,0.00,0,0
McFadden Owen,15,80,25,24,183.0,2.29,120,1.50,17,236,.436,7,0.09,13,0.16,9,50,0.63,3,39,.923,0.04,17,66,83.0,1.04,2,0
Bousquet Greg,17,59,26,3,56.5,0.96,36,0.61,10,80,.325,2,0.03,0,0.00,3,18,0.31,3,15,.800,0.05,2,37,39.0,0.66,3,1
Maskiell Ben,19,89,27,24,71.5,0.80,5,0.06,2,23,.130,486,5.46,66,0.74,74,84,0.94,0,4,1.000,0.00,0,1,1.0,0.01,0,7
Greenawalt Nick,20,87,27,24,131.0,1.51,113,1.30,42,255,.278,4,0.05,0,0.00,3,25,0.29,8,79,.899,0.09,2,32,34.0,0.39,4,0
Capwell Sam,21,85,27,25,156.5,1.84,101,1.19,41,242,.248,2,0.02,6,0.07,30,28,0.33,4,62,.935,0.05,16,67,83.0,0.98,4,1
Gilhool Gavin,22,24,12,0,27.0,1.13,17,0.71,6,30,.367,1,0.04,1,0.04,1,4,0.17,0,3,1.000,0.00,5,8,13.0,0.54,2,0
Kagoro Alex,2,103,28,15,166.5,1.62,128,1.24,67,282,.216,15,0.15,24,0.23,91,115,1.12,3,21,.857,0.03,6,17,23.0,0.22,2,0
Plumey Lucas,4,51,17,2,0,0.00,0,0.00,1,5,-.200,8,0.16,0,0.00,7,46,0.90,1,8,.875,0.02,0,0,0,0.00,0,0
Stauffer Conner,5,100,27,22,130.5,1.31,106,1.06,48,256,.227,21,0.21,8,0.08,41,147,1.47,20,535,.963,0.20,7,19,26.0,0.26,3,0
Hanzelman Owen,6,121,33,0,1.0,0.01,1,0.01,1,4,.000,33,0.27,0,0.00,1,190,1.57,25,544,.954,0.21,0,0,0,0.00,0,0
Espenshade Ethan,7,9,7,1,2.0,0.22,0,0.00,0,1,.000,1,0.11,2,0.22,1,3,0.33,1,2,.500,0.11,0,0,0,0.00,0,0
Garcia Marcos,8,29,15,2,5.5,0.19,0,0.00,0,3,.000,88,3.03,4,0.14,7,8,0.28,0,0,.000,0.00,0,3,3.0,0.10,0,1
Wolf Christian,9,15,8,0,14.5,0.97,8,0.53,2,13,.462,0,0.00,4,0.27,8,5,0.33,0,1,1.000,0.00,0,5,5.0,0.33,0,0
Barbato Zac,10,53,25,7,100.5,1.90,80,1.51,28,150,.347,2,0.04,16,0.30,45,55,1.04,11,126,.913,0.21,0,9,9.0,0.17,0,0
Knab Matt,11,111,31,31,170.5,1.54,62,0.56,24,123,.309,1163,10.48,81,0.73,141,145,1.31,0,7,1.000,0.00,11,33,44.0,0.40,5,7
Chamberlain Alexande,12,4,2,0,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,4,0,0.00,1,1,.000,0.25,0,0,0,0.00,0,0
Chamberlain Alexander,12,14,6,1,16.5,1.18,13,0.93,8,30,.167,0,0.00,2,0.14,12,8,0.57,3,29,.897,0.21,0,3,3.0,0.21,0,0
Bowman Nate,13,102,30,25,194.5,1.91,146,1.43,35,282,.394,10,0.10,9,0.09,14,49,0.48,0,2,1.000,0.00,19,41,60.0,0.59,6,0
Parks Brayden,14,12,7,1,24.0,2.00,19,1.58,4,30,.500,1,0.08,1,0.08,4,8,0.67,0,0,.000,0.00,1,6,7.0,0.58,0,0
Hamm Jacob,16,85,28,22,192.0,2.26,167,1.96,55,330,.339,2,0.02,8,0.09,29,25,0.29,0,0,.000,0.00,1,32,33.0,0.39,1,1
Nissley Mason,17,104,31,30,579.5,5.57,514,4.94,215,1079,.277,25,0.24,42,0.40,114,163,1.57,26,650,.960,0.25,10,27,37.0,0.36,6,1
Nixon Jonathan,18,6,4,0,2.5,0.42,2,0.33,0,5,.400,22,3.67,0,0.00,2,0,0.00,0,0,.000,0.00,0,1,1.0,0.17,0,0
Olson Luke,20,28,13,2,14.0,0.50,11,0.39,10,30,.033,2,0.07,2,0.07,8,15,0.54,0,27,1.000,0.00,0,2,2.0,0.07,0,0
Givens Ryan,22,94,27,23,196.5,2.09,152,1.62,44,284,.380,4,0.04,7,0.07,31,23,0.24,3,12,.750,0.03,12,51,63.0,0.67,2,0
Casper Adam,24,60,24,14,148.5,2.48,113,1.88,22,181,.503,1,0.02,7,0.12,9,16,0.27,0,1,1.000,0.00,8,41,49.0,0.82,5,0
Ganoe Kyle,3,100,30,29,266.5,2.67,204,2.04,106,484,.202,46,0.46,37,0.37,114,106,1.06,1,13,.923,0.01,9,33,42.0,0.42,3,2
Sellitti Dylan,4,107,33,32,86.5,0.81,30,0.28,7,69,.333,973,9.09,47,0.44,78,122,1.14,1,2,.500,0.01,1,17,18.0,0.17,4,20
Cusick Connor,5,45,19,10,79.5,1.77,53,1.18,18,108,.324,1,0.02,9,0.20,20,13,0.29,1,1,.000,0.02,5,25,30.0,0.67,2,1
Westerfield Conner,6,104,34,1,15.0,0.14,9,0.09,2,20,.350,56,0.54,6,0.06,3,248,2.38,39,613,.936,0.38,0,0,0,0.00,0,1
Spencer Connor,7,73,33,0,12.5,0.17,4,0.05,0,8,.500,3,0.04,8,0.11,15,46,0.63,2,59,.966,0.03,0,1,1.0,0.01,0,0
Furlong Alex,8,87,31,3,53.5,0.61,30,0.34,15,70,.214,5,0.06,22,0.25,19,60,0.69,4,157,.975,0.05,0,3,3.0,0.03,1,0
DeFrain Gannon,9,45,29,3,11.0,0.24,3,0.07,1,9,.222,125,2.78,4,0.09,23,14,0.31,0,0,.000,0.00,1,6,7.0,0.16,2,2
Cervasio Austin,10,90,32,28,187.5,2.08,129,1.43,36,251,.371,1,0.01,21,0.23,57,22,0.24,0,2,1.000,0.00,12,51,63.0,0.70,2,1
Martin Zane,11,105,35,32,208.0,1.98,154,1.47,48,327,.324,2,0.02,24,0.23,61,16,0.15,0,0,.000,0.00,8,44,52.0,0.50,1,0
Walsh James,12,79,33,5,44.5,0.56,35,0.44,20,107,.140,3,0.04,3,0.04,9,29,0.37,3,17,.824,0.04,2,9,11.0,0.14,0,1
DePalma Anthony,13,106,33,31,402.5,3.80,348,3.28,152,814,.241,14,0.13,35,0.33,111,102,0.96,30,552,.946,0.28,7,25,32.0,0.30,1,3
Murphy Billy,15,110,34,34,393.0,3.57,326,2.96,177,814,.183,19,0.17,44,0.40,109,117,1.06,38,668,.943,0.35,7,32,39.0,0.35,1,0
Schields Paul,16,10,8,0,0,0.00,0,0.00,0,0,0,3,0.30,0,0.00,2,15,1.50,2,27,.926,0.20,0,0,0,0.00,0,0
Mallozzi Tyler,22,19,15,1,26.5,1.39,22,1.16,12,52,.192,0,0.00,3,0.16,11,12,0.63,0,0,.000,0.00,0,3,3.0,0.16,1,1
Albrecht Matt,32,22,15,1,22.5,1.02,16,0.73,8,39,.205,2,0.09,4,0.18,13,11,0.50,2,2,.000,0.09,0,5,5.0,0.23,0,1
Rogers Brandon,1,10,7,1,20.5,2.05,18,1.80,9,34,.265,1,0.10,0,0.00,2,5,0.50,0,0,.000,0.00,0,5,5.0,0.50,2,1
Perun Daniel,4,82,32,0,16.0,0.20,8,0.10,8,26,.000,87,1.06,6,0.07,10,54,0.66,2,10,.800,0.02,0,4,4.0,0.05,1,1
Ho Phu-Quy,5,40,15,0,1.0,0.03,1,0.03,1,3,.000,17,0.43,0,0.00,0,63,1.58,10,126,.921,0.25,0,0,0,0.00,0,1
Stark Jacob,6,6,5,0,2.0,0.33,1,0.17,2,6,-.167,0,0.00,1,0.17,1,3,0.50,0,0,.000,0.00,0,0,0,0.00,0,0
Varseveld Christopher,8,70,25,21,107.5,1.54,78,1.11,27,166,.307,8,0.11,5,0.07,26,27,0.39,1,4,.750,0.01,7,35,42.0,0.60,3,0
Franke Alex,9,45,24,4,110.0,2.44,88,1.96,38,175,.286,4,0.09,6,0.13,13,27,0.60,0,0,.000,0.00,8,16,24.0,0.53,7,0
Fyda Jack,10,98,33,31,305.0,3.11,256,2.61,80,575,.306,13,0.13,26,0.27,36,102,1.04,32,384,.917,0.33,11,24,35.0,0.36,10,1
Weirick Carver,11,63,30,0,3.0,0.05,2,0.03,2,10,.000,12,0.19,1,0.02,1,91,1.44,15,208,.928,0.24,0,0,0,0.00,0,1
Nikc Colin,12,24,14,2,5.0,0.21,1,0.04,1,5,.000,97,4.04,2,0.08,7,20,0.83,0,0,.000,0.00,0,4,4.0,0.17,1,1
Feulner Connor,15,95,30,29,264.0,2.78,176,1.85,38,307,.450,6,0.06,19,0.20,40,47,0.49,0,6,1.000,0.00,26,86,112.0,1.18,15,0
Knuckles Jesse,16,83,31,0,1.0,0.01,1,0.01,0,2,.500,41,0.49,0,0.00,0,168,2.02,24,405,.941,0.29,0,0,0,0.00,0,0
Huyke Sebastian,17,9,6,0,3.0,0.33,1,0.11,2,4,-.250,16,1.78,2,0.22,7,5,0.56,0,1,1.000,0.00,0,0,0,0.00,0,0
Sherman Koby,18,93,32,26,377.5,4.06,315,3.39,128,629,.297,12,0.13,39,0.42,67,86,0.92,8,112,.929,0.09,7,33,40.0,0.43,8,1
Bickford Percy,19,84,30,19,210.0,2.50,174,2.07,58,434,.267,9,0.11,9,0.11,12,95,1.13,25,354,.929,0.30,13,28,41.0,0.49,2,3
Moran Louden,20,98,32,31,113.5,1.16,45,0.46,18,106,.255,918,9.37,34,0.35,72,157,1.60,4,8,.500,0.04,11,47,58.0,0.59,9,3
Evans Zachary,22,37,20,8,58.0,1.57,34,0.92,8,74,.351,3,0.08,4,0.11,17,16,0.43,0,0,.000,0.00,4,32,36.0,0.97,6,0
Christensen Tyler,23,20,10,3,42.0,2.10,35,1.75,25,79,.127,5,0.25,5,0.25,11,27,1.35,7,75,.907,0.35,1,2,3.0,0.15,0,0
van Arsdale Stedman,27,41,20,9,50.5,1.23,32,0.78,14,64,.281,6,0.15,3,0.07,15,13,0.32,0,3,1.000,0.00,3,25,28.0,0.68,8,1
Lancia Nathan,29,75,30,14,130.0,1.73,106,1.41,51,277,.199,9,0.12,8,0.11,30,95,1.27,7,96,.927,0.09,4,24,28.0,0.37,6,2
Schmidt Hunter,30,10,8,0,13.5,1.35,4,0.40,2,14,.143,1,0.10,4,0.40,4,2,0.20,0,2,1.000,0.00,1,9,10.0,1.00,0,0
Ernest Micah,1,3,2,0,1.0,0.33,1,0.33,0,1,1.000,0,0.00,0,0.00,1,0,0.00,0,0,.000,0.00,0,0,0,0.00,0,0
Flanagan Tim,2,48,14,14,209.0,4.35,184,3.83,86,447,.219,9,0.19,16,0.33,31,90,1.88,10,250,.960,0.21,5,8,13.0,0.27,2,1
Stewart Dani,3,1,1,0,4.0,4.00,3,3.00,1,4,.500,0,0.00,1,1.00,1,0,0.00,1,3,.667,1.00,0,0,0,0.00,0,0
Hines Doug,4,57,23,6,23.0,0.40,7,0.12,4,27,.111,247,4.33,13,0.23,50,60,1.05,0,2,1.000,0.00,0,6,6.0,0.11,0,2
Thenell Ryan,5,100,29,29,338.0,3.38,293,2.93,130,742,.220,10,0.10,26,0.26,47,136,1.36,2,9,.778,0.02,4,30,34.0,0.34,4,0
Novoa Justin,7,77,27,23,41.0,0.53,16,0.21,9,73,.096,656,8.52,8,0.10,26,119,1.55,2,6,.667,0.03,3,28,31.0,0.40,1,0
Dougherty Michael,8,99,29,0,7.5,0.08,7,0.07,1,24,.250,61,0.62,0,0.00,1,301,3.04,21,590,.964,0.21,0,1,1.0,0.01,0,0
Kouchoukos Kevin,9,4,4,0,0,0.00,0,0.00,0,0,0,5,1.25,0,0.00,0,1,0.25,0,1,1.000,0.00,0,0,0,0.00,0,0
Farrell Brian,10,58,20,15,92.5,1.59,81,1.40,60,249,.084,5,0.09,3,0.05,30,40,0.69,17,190,.911,0.29,0,17,17.0,0.29,1,0
Estlack Quinn,11,3,3,0,1.0,0.33,0,0.00,0,0,0,5,1.67,1,0.33,2,0,0.00,0,0,.000,0.00,0,0,0,0.00,0,0
Braverman Jack,12,99,29,27,223.0,2.25,183,1.85,120,493,.128,12,0.12,24,0.24,55,142,1.43,38,513,.926,0.38,5,22,27.0,0.27,4,2
Hrvatin Jack,13,3,3,1,2.5,0.83,2,0.67,4,10,-.200,1,0.33,0,0.00,0,0,0.00,0,1,1.000,0.00,0,1,1.0,0.33,0,0
Dietrich Kyle,14,1,1,0,0,0.00,0,0.00,0,0,0,1,1.00,0,0.00,0,1,1.00,1,3,.667,1.00,0,0,0,0.00,0,0
Kregel Christian,16,6,5,0,1.0,0.17,1,0.17,4,8,-.375,1,0.17,0,0.00,1,3,0.50,1,3,.667,0.17,0,0,0,0.00,0,0
Christensen Minh,17,37,17,3,25.5,0.69,15,0.41,12,46,.065,1,0.03,10,0.27,8,17,0.46,5,77,.935,0.14,0,1,1.0,0.03,0,0
O'Brien Aidan,18,102,29,27,207.0,2.03,162,1.59,58,308,.338,16,0.16,6,0.06,17,33,0.32,1,4,.750,0.01,13,52,65.0,0.64,6,1
Sarmuksnis JD,19,86,28,0,4.0,0.05,1,0.01,5,12,-.333,9,0.10,3,0.03,5,61,0.71,12,147,.918,0.14,0,0,0,0.00,0,0
Trouteaud Corwin,20,6,4,0,11.0,1.83,9,1.50,0,10,.900,0,0.00,2,0.33,1,1,0.17,0,0,.000,0.00,0,0,0,0.00,0,0
De La Torre Elliot,21,101,29,29,243.0,2.41,180,1.78,43,379,.361,11,0.11,15,0.15,37,35,0.35,1,8,.875,0.01,21,54,75.0,0.74,6,1
