Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
SUNY Old Westbury,Moyett Anthony,23,43,14,53,1.23,61,237,-0.034,12,0.28,5,0.12,103,2.4,31,324,3,3,6.0,0.14,,
SUNY Old Westbury,Duval Sam,24,13,4,6,0.46,8,27,-0.074,0,0.0,3,0.23,18,1.38,14,9,0,2,2.0,0.15,,
SUNY Old Westbury,Seraphin James,33,45,15,24,0.53,33,119,-0.076,1,0.02,2,0.04,21,0.47,14,16,1,2,3.0,0.07,,
SUNY Old Westbury,Green Michael,42,6,2,1,0.17,10,23,-0.391,0,0.0,2,0.33,3,0.5,10,0,0,1,1.0,0.17,,
SUNY Old Westbury,Anagnostou Konstandinos,44,52,17,12,0.23,37,129,-0.194,95,1.83,5,0.1,52,1.0,5,10,0,3,3.0,0.06,,
Suny Purchase,Idris Idris,1,94,27,54,0.57,31,209,0.11,522,5.55,27,0.29,232,2.47,2,10,2,14,16.0,0.17,,
Suny Purchase,Posillico Chris,2,80,23,148,1.85,119,650,0.045,11,0.14,25,0.31,197,2.46,28,482,1,3,4.0,0.05,,
Suny Purchase,Zeray Jasper,4,81,23,64,0.79,65,299,-0.003,29,0.36,21,0.26,203,2.51,24,380,1,9,10.0,0.12,,
Suny Purchase,Olmedo Mario,5,15,5,9,0.6,10,35,-0.029,1,0.07,4,0.27,18,1.2,7,21,1,4,5.0,0.33,,
Suny Purchase,Spadinger Luca,6,89,26,149,1.67,131,603,0.03,17,0.19,13,0.15,217,2.44,56,405,3,13,16.0,0.18,,
Suny Purchase,Garguilo Marcus,7,94,27,226,2.4,134,730,0.126,18,0.19,37,0.39,168,1.79,36,397,25,30,55.0,0.59,,
Suny Purchase,Hall Jonathan,8,70,21,9,0.13,31,69,-0.319,1,0.01,6,0.09,82,1.17,10,41,3,6,9.0,0.13,,
Suny Purchase,Menzie Jaheim,11,46,14,8,0.17,5,36,0.083,2,0.04,5,0.11,40,0.87,2,4,4,7,11.0,0.24,,
Yeshiva,Anina Eli,0,3,3,0,0.0,1,1,-1.0,0,0.0,1,0.33,0,0.0,0,0,0,0,0.0,0.0,,
Yeshiva,Cillo Eitan,1,28,13,8,0.29,6,46,0.043,2,0.07,11,0.39,22,0.79,2,10,0,3,3.0,0.11,,
Yeshiva,Stark Michael,2,50,17,1,0.02,9,25,-0.32,3,0.06,0,0.0,75,1.5,21,214,0,0,0.0,0.0,,
Yeshiva,Waxman Eli,3,71,22,16,0.23,28,123,-0.098,303,4.27,32,0.45,96,1.35,5,20,0,9,9.0,0.13,,
